fy,full_sample,sel_index,typen,active_borrowers,active_undergrad_bor,active_grad_bor,active_parplus_bor,tot_vol,undergrad_loans,grad_loans,parplus_loans,mn_tot_vol,md_tot_vol,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,mn_duration_borrowing,md_duration_borrowing,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc,cpi_adj
1970,1,,,203,190,13,0,242,222,21,0,1195,890,1170,890,1445,1335,,,5.27,1,,,,,,,,,,,,,,,0.209694
1971,1,,,228,212,16,0,288,263,25,0,1260,1115,1240,1070,1420,1335,,,5.66,1,,,,,,,,,,,,,,,0.217343
1972,1,,,230,211,19,0,304,276,28,0,1320,1335,1305,1335,1395,1335,,,6.13,2,,,,,,,,,,,,,,,0.224633
1973,1,,,226,203,23,0,320,280,40,0,1415,1335,1380,1335,1645,1335,,,6.45,2,,,,,,,,,,,,,,,0.24199
1974,1,,,240,214,26,0,377,324,53,0,1570,1335,1515,1335,1830,1370,,,6.78,3,,,,,,,,,,,,,,,0.269745
1975,1,,,265,234,31,0,435,371,64,0,1640,1335,1585,1335,1875,1780,,,6.84,3,,,,,,,,,,,,,,,0.287627
1976,1,,,313,271,42,0,525,435,90,0,1680,1335,1605,1335,1905,1780,,,6.74,3,,,,,,,,,,,,,,,0.302189
1977,1,,,421,365,55,0,804,647,156,0,1910,1700,1770,1425,2465,2225,,,6.72,3,,,,,,,,,,,,,,,0.322139
1978,1,,,557,479,78,0,1154,898,256,0,2070,1780,1875,1780,2850,2225,,,6.6,3,,,,,,,,,,,,,,,0.346492
1979,1,,,924,800,125,0,2071,1619,452,0,2240,2225,2025,1960,3175,2670,,,6.21,2,,,,,,,,,,,,,,,0.381639
1980,1,,,1581,1375,206,0,3653,2824,829,0,2310,2225,2055,2225,3465,3740,,,5.83,2,,,,,,,,,,,,,,,0.42186
1981,1,,,2441,2091,342,8,6080,4587,1469,25,2490,2225,2195,2225,4015,4450,2985,2640,5.7,2,,,,,,,,,,,,,,,0.452594
1982,1,,,2086,1784,285,18,4924,3686,1189,49,2360,2225,2065,2225,4000,4450,2765,2640,5.91,3,,,,,,,,,,,,,,,0.474364
1983,1,,,2321,1979,303,39,5601,4172,1319,109,2415,2225,2110,2225,4195,4450,2760,2640,5.92,3,,,,,,,,,,,,,,,0.491878
1984,1,,,2600,2213,333,55,6331,4700,1483,148,2435,2225,2125,2225,4295,4450,2695,2640,5.83,3,,,,,,,,,,,,,,,0.509814
1985,1,,,2908,2489,348,71,7144,5346,1605,193,2455,2225,2150,2225,4445,4450,2715,2640,5.65,3,,,,,,,,,,,,,,,0.528431
1986,1,,,2844,2452,318,73,6825,5186,1446,192,2400,2225,2115,2225,4390,4450,2625,2640,5.5,2,,,,,,,,,,,,,,,0.536539
1987,1,,,2885,2494,305,88,7712,5707,1748,258,2675,2225,2290,2225,5505,4450,2920,2640,5.4,3,,,,,,,,,,,,,,,0.556903
1988,1,,,3087,2628,321,140,9269,6758,2070,440,3000,2335,2570,2335,6190,6675,3135,3520,5.31,3,,,,,,,,,,,,,,,0.580705
1989,1,,,3121,2604,329,191,9877,7024,2246,608,3165,2335,2700,2335,6585,6675,3185,3520,5.31,3,,,,,,,,,,,,,,,0.60299
1990,1,,,3082,2504,356,226,10687,7174,2777,736,3465,2625,2865,2625,7525,7500,3255,3520,5.52,3,,,,,,,,,,,,,,,0.631967
1991,1,,,3228,2574,392,266,11852,7754,3213,885,3670,2625,3010,2625,7870,7500,3330,3520,5.66,3,,,,,,,,,,,,,,,0.648323
1992,1,,,3413,2685,425,308,13014,8389,3572,1053,3815,2625,3125,2625,8110,7500,3415,3520,5.77,3,,,,,,,,,,,,,,,0.665147
1993,1,,,3579,2871,447,265,15851,10237,4479,1134,4430,3475,3565,2625,9670,7500,4285,4000,5.89,4,,,,,,,,,,,,,,,0.679709
1994,1,,,4081,3279,531,274,21498,13586,6317,1596,5270,3640,4145,3500,11355,9250,5825,4000,6,4,,,,,,,,,,,,,,,0.694281
1995,1,,,4198,3357,549,294,23331,14561,6928,1842,5560,4000,4335,3500,12015,10500,6270,5000,6.03,4,44920,0.57,0.58,0.4,57242.3,0.15,0.11,0.04,33875,15950,54825,35090,19965,39920,0.707602
1996,1,,,4563,3633,594,338,26216,16170,7779,2267,5745,4250,4450,3500,12545,11500,6705,5100,6.1,4,47400,0.61,0.58,0.38,56790.3,0.14,0.11,0.04,36360,16480,56065,37775,22465,50080,0.724261
1997,1,,,4832,3836,626,372,28983,17628,8693,2661,6000,4500,4595,3500,13285,12000,7155,5645,6.17,4,49280,0.64,0.58,0.37,57604.5,0.13,0.11,0.04,38660,17060,57060,40270,23215,52000,0.732323
1998,1,,,4956,3912,646,401,29973,17933,9057,2983,6045,4560,4585,3500,13445,12260,7435,5990,6.2,4,51685,0.68,0.58,0.36,58932.2,0.13,0.1,0.04,41390,17825,58265,43065,24940,48270,0.738253
1999,1,,,4951,3897,647,411,30466,17842,9471,3154,6155,4605,4580,3500,14105,12970,7675,6000,6.21,4,53635,0.69,0.58,0.37,60557.6,0.12,0.09,0.04,43205,18095,59350,44980,27530,48825,0.753413
2000,1,,,5162,4044,673,449,33286,19234,10419,3633,6450,5000,4755,3665,14900,13900,8095,6470,6.19,4,55580,0.7,0.58,0.37,60863.1,0.11,0.09,0.04,45090,18945,60800,46760,31195,47585,0.77168
2001,1,,,5366,4192,710,469,35238,20152,11066,4019,6565,5180,4810,3805,15055,14440,8570,7000,6.19,4,57150,0.71,0.58,0.37,61017.3,0.12,0.09,0.04,45970,19550,61715,47625,33655,48970,0.779909
2002,1,,,5839,4539,796,509,39728,22303,12754,4670,6805,5325,4915,4000,15495,15230,9175,7495,6.18,4,58255,0.7,0.58,0.38,61194.6,0.12,0.09,0.04,46630,20260,62550,47925,37250,48335,0.796383
2003,1,,,6448,4959,909,586,45610,25127,14709,5774,7075,5500,5065,4375,15650,15830,9855,8000,6.17,4,58135,0.69,0.59,0.38,61047.5,0.12,0.09,0.04,45725,20080,62190,46795,38905,50155,0.811654
2004,1,,,7030,5369,1000,670,51594,27795,16559,7240,7340,5500,5175,4625,16075,16720,10810,8865,6.07,4,58010,0.68,0.6,0.38,61014,0.12,0.09,0.04,45195,20095,62005,45825,40825,48155,0.834702
2005,1,,,7397,5632,1063,710,55615,29571,17858,8187,7520,5500,5250,4825,16335,17250,11530,9500,6.03,4,58150,0.68,0.6,0.38,61061,0.12,0.09,0.04,45025,19995,61755,45480,41840,48230,0.858669
2006,1,,,7541,5767,1098,684,58842,30526,20120,8196,7805,5500,5295,4970,17805,17925,11975,10000,5.99,4,58355,0.69,0.61,0.38,61027.1,0.12,0.09,0.04,44875,19555,61695,45225,42800,46085,0.876992
2007,1,,,7697,5900,1164,642,64416,33066,23463,7888,8370,5500,5605,5000,19630,18245,12280,10000,5.95,4,58405,0.69,0.61,0.38,61050,0.12,0.09,0.04,44515,19250,61465,44480,44690,44255,0.906824
2008,1,,,8135,6301,1243,601,75735,41628,26632,7474,9310,6750,6605,5500,20855,19220,12445,10000,5.88,4,58540,0.69,0.61,0.38,61101.8,0.13,0.09,0.04,43630,18760,61420,43430,44610,42370,0.910217
2009,1,,,9522,7458,1401,677,95615,55433,31476,8707,10040,7500,7435,6500,21770,19790,12870,10125,5.74,4,58055,0.67,0.61,0.39,61006.3,0.13,0.09,0.04,41685,17835,60835,41095,45045,39985,0.929017
2010,1,,,10232,7986,1495,771,100746,57548,33330,9869,9845,7500,7205,6500,21650,18985,12805,10000,5.68,4,56455,0.66,0.61,0.39,60887.4,0.13,0.09,0.04,39425,16935,59325,38460,45315,35435,0.941916
2011,1,,,10970,8536,1585,879,110756,62247,36555,11954,10095,7500,7290,6500,22375,19475,13595,10625,5.57,3,55955,0.66,0.61,0.39,60982.2,0.13,0.09,0.04,38650,16605,57900,37675,45130,30725,0.965479
2012,1,,,10383,8222,1494,684,103970,59011,34887,10072,10015,7500,7175,6500,22755,19965,14725,12000,5.34,3,55675,0.67,0.62,0.39,61018.9,0.13,0.09,0.04,38175,15835,56925,37110,44945,34550,0.980216
2013,1,,,9926,7858,1432,652,100362,55921,34234,10206,10110,7500,7115,6500,23315,20430,15645,12715,5.05,3,56220,0.69,0.62,0.38,61216,0.14,0.09,0.04,38545,15670,56400,37460,45325,34700,0.992323
2014,1,,,9573,7495,1430,666,100227,54578,34942,10707,10470,7500,7280,6500,23875,20500,16070,13135,4.67,2,57095,0.71,0.62,0.37,61389.1,0.14,0.09,0.04,39185,15435,56325,38260,44850,32210,1
1970,,1,,11,10,0,0,12,11,1,0,1105,890,1085,890,1590,1335,,,3.63,0,,,,,,,,,,,,,,,0.209694
1971,,1,,13,13,0,0,15,15,0,0,1180,1335,1175,1280,1060,1335,,,3.92,0,,,,,,,,,,,,,,,0.217343
1972,,1,,15,15,1,0,19,18,1,0,1250,1335,1250,1335,1240,1335,,,4.02,0,,,,,,,,,,,,,,,0.224633
1973,,1,,14,14,1,0,18,17,1,0,1270,1335,1265,1335,1225,1335,,,4.89,0,,,,,,,,,,,,,,,0.24199
1974,,1,,17,16,1,0,23,22,1,0,1385,1335,1375,1335,1485,1335,,,5.76,0,,,,,,,,,,,,,,,0.269745
1975,,1,,20,20,0,0,31,30,1,0,1510,1335,1500,1335,1735,1780,,,5.53,0,,,,,,,,,,,,,,,0.287627
1976,,1,,25,24,1,0,38,37,1,0,1525,1335,1505,1335,1745,1690,,,5.14,0,,,,,,,,,,,,,,,0.302189
1977,,1,,33,32,1,0,57,55,3,0,1725,1425,1690,1335,2615,2225,,,5.38,0,,,,,,,,,,,,,,,0.322139
1978,,1,,50,48,1,0,91,86,4,0,1825,1780,1790,1780,2660,2225,,,5.37,0,,,,,,,,,,,,,,,0.346492
1979,,1,,74,72,2,0,148,142,6,0,2000,2075,1970,2045,2605,2225,,,5.32,0,,,,,,,,,,,,,,,0.381639
1980,,1,,129,127,2,0,260,251,9,0,2015,2225,1980,2225,2880,2225,,,5.05,0,,,,,,,,,,,,,,,0.42186
1981,,1,,210,205,4,0,453,438,15,1,2160,2225,2130,2225,2850,2225,2740,2640,4.87,0,,,,,,,,,,,,,,,0.452594
1982,,1,,255,250,4,1,542,526,12,3,2125,2225,2105,2225,2865,2225,2210,2505,4.72,0,,,,,,,,,,,,,,,0.474364
1983,,1,,370,363,3,4,803,783,10,9,2170,2225,2160,2225,2905,2225,2225,2640,4.56,0,,,,,,,,,,,,,,,0.491878
1984,,1,,474,461,3,9,1042,1010,9,22,2200,2225,2190,2225,2770,2225,2380,2640,4.64,0,,,,,,,,,,,,,,,0.509814
1985,,1,,624,608,4,12,1379,1339,11,29,2210,2225,2205,2225,2535,2225,2385,2640,4.32,0,,,,,,,,,,,,,,,0.528431
1986,,1,,753,732,4,17,1654,1601,10,42,2195,2225,2190,2225,2320,2225,2430,2640,4.06,0,,,,,,,,,,,,,,,0.536539
1987,,1,,904,876,3,25,2234,2155,11,68,2470,2335,2460,2335,2945,2335,2730,2640,3.8,0,,,,,,,,,,,,,,,0.556903
1988,,1,,1051,1008,3,41,3054,2925,13,115,2905,2335,2900,2335,3225,2335,2835,3140,3.68,0,,,,,,,,,,,,,,,0.580705
1989,,1,,1002,948,2,53,3083,2923,12,149,3075,2335,3085,2335,3490,2335,2800,3080,3.55,0,,,,,,,,,,,,,,,0.60299
1990,,1,,814,759,2,55,2489,2320,11,158,3055,2625,3055,2625,4040,2625,2880,3295,3.82,0,,,,,,,,,,,,,,,0.631967
1991,,1,,686,632,2,53,2162,1992,10,160,3155,2625,3155,2625,3575,2625,3010,3520,4.01,1,,,,,,,,,,,,,,,0.648323
1992,,1,,593,539,1,53,1932,1760,7,165,3260,2625,3265,2625,4580,3435,3080,3520,4.14,1,,,,,,,,,,,,,,,0.665147
1993,,1,,489,441,1,48,1735,1541,8,187,3550,2625,3495,2625,6165,4000,3870,4000,4.3,1,,,,,,,,,,,,,,,0.679709
1994,,1,,477,431,1,46,1953,1737,8,208,4090,3290,4030,2920,7655,4880,4525,4000,4.44,1,,,,,,,,,,,,,,,0.694281
1995,,1,,457,409,1,47,1944,1716,8,220,4255,3500,4195,3500,8475,5500,4650,4000,4.48,1,28080,0.31,0.64,0.55,56863.6,0.16,0.11,0.04,19190,14700,36755,19170,5440,23990,0.707602
1996,,1,,481,431,1,50,2107,1847,12,248,4380,3575,4290,3500,11740,8500,4970,4070,4.51,1,30135,0.35,0.62,0.54,57552.1,0.15,0.11,0.04,20740,15125,36780,20700,12285,30620,0.724261
1997,,1,,501,448,0,53,2314,2023,11,280,4615,3940,4515,3750,11335,10250,5250,4335,4.62,1,31915,0.37,0.59,0.52,58858.8,0.15,0.1,0.04,22090,16690,37620,22035,21840,38715,0.732323
1998,,1,,534,473,0,61,2509,2162,9,338,4700,4000,4575,3840,11945,8500,5500,4600,4.66,2,33240,0.39,0.58,0.52,58367.6,0.14,0.1,0.04,23500,17930,37390,23470,29750,34075,0.738253
1999,,1,,578,507,0,71,2860,2419,9,432,4945,4250,4765,4185,10595,8500,6070,5075,4.58,2,34530,0.4,0.56,0.52,57620.3,0.15,0.11,0.04,24485,18245,38805,24420,33885,31585,0.753413
2000,,1,,632,552,0,81,3295,2758,12,525,5210,4435,5000,4415,11310,10000,6490,5500,4.63,2,36490,0.41,0.54,0.53,58365.5,0.15,0.1,0.04,25445,19155,39550,25405,30585,32480,0.77168
2001,,1,,706,618,1,89,3827,3178,12,637,5415,4725,5145,4500,9990,6625,7140,5900,4.62,2,37840,0.43,0.53,0.53,58165.4,0.15,0.1,0.04,26520,19595,40640,26450,22840,33410,0.779909
2002,,1,,810,715,1,95,4572,3804,28,740,5645,4970,5320,4665,11505,10500,7780,6550,4.69,2,39400,0.44,0.55,0.54,58452,0.15,0.1,0.04,27155,19930,41795,27110,32100,36960,0.796383
2003,,1,,940,834,0,107,5503,4576,27,901,5855,5250,5490,5065,11920,11155,8385,6945,4.78,2,38400,0.44,0.58,0.54,57953.7,0.16,0.11,0.04,26475,19465,40150,26430,36705,34330,0.811654
2004,,1,,1125,1003,1,124,6848,5647,45,1157,6085,5500,5630,5250,14185,15260,9360,7645,4.75,2,38375,0.43,0.6,0.53,57862.1,0.16,0.11,0.04,26510,19680,39560,26430,39330,37090,0.834702
2005,,1,,1235,1109,1,128,7653,6318,58,1277,6195,5735,5700,5465,13730,13875,10010,8100,4.78,2,38235,0.44,0.62,0.52,57603.4,0.16,0.11,0.04,26275,19155,39290,26185,41225,35825,0.858669
2006,,1,,1308,1189,1,120,8337,6991,77,1269,6375,6125,5880,5625,14320,15550,10540,8645,4.83,2,37465,0.44,0.64,0.52,57167.7,0.16,0.11,0.04,25520,18430,38625,25475,32530,35310,0.876992
2007,,1,,1411,1299,1,113,9197,7943,67,1187,6520,6375,6115,6100,13685,13130,10510,8570,4.89,3,36615,0.44,0.64,0.53,56883.1,0.17,0.11,0.04,24765,17890,37285,24715,32040,30590,0.906824
2008,,1,,1625,1524,1,104,12333,11139,87,1108,7590,7495,7310,7390,14850,16110,10700,8370,4.93,3,35640,0.43,0.65,0.53,56615.9,0.17,0.11,0.04,23660,17145,35965,23635,31510,29740,0.910217
2009,,1,,2086,1970,1,118,18029,16572,160,1297,8645,8750,8410,8680,16280,15065,10980,8500,4.87,3,33875,0.41,0.65,0.54,56019,0.18,0.11,0.04,21890,15755,34050,21855,30675,29075,0.929017
2010,,1,,2337,2199,2,143,18934,17333,145,1456,8105,7915,7885,7885,14820,14005,10210,7430,4.92,3,32620,0.41,0.66,0.54,55782.7,0.18,0.11,0.04,21055,15100,32700,21020,30260,27505,0.941916
2011,,1,,2324,2169,2,163,19352,17407,203,1742,8325,7605,8025,7525,16075,15375,10680,7545,4.97,3,32035,0.42,0.67,0.54,55801.6,0.18,0.11,0.04,20695,14695,31930,20670,29905,23425,0.965479
2012,,1,,2040,1940,2,104,16580,15258,163,1160,8125,7500,7865,7500,15320,15170,11200,8255,4.93,2,31310,0.43,0.68,0.54,55593.4,0.18,0.11,0.04,20000,13690,31210,19965,29445,26350,0.980216
2013,,1,,1823,1749,2,77,14912,13842,158,911,8180,7660,7915,7500,15300,14225,11810,8570,4.78,2,31085,0.45,0.68,0.53,55448.1,0.19,0.11,0.04,19715,13080,30560,19675,29595,29410,0.992323
2014,,1,,1684,1614,2,72,13846,12863,136,848,8220,7750,7965,7610,15810,15920,11740,8770,4.51,2,30935,0.47,0.68,0.52,55189.3,0.19,0.12,0.04,19775,12690,30025,19745,23595,25795,1
1970,,2,,9,9,0,0,9,8,0,0,985,890,965,890,1530,1515,,,5.01,0,,,,,,,,,,,,,,,0.209694
1971,,2,,12,12,0,0,13,12,0,0,1050,890,1040,890,1205,1335,,,4.54,1,,,,,,,,,,,,,,,0.217343
1972,,2,,14,14,0,0,18,17,1,0,1225,1070,1210,1070,1480,1335,,,5.02,1,,,,,,,,,,,,,,,0.224633
1973,,2,,14,14,0,0,17,16,1,0,1180,990,1155,980,1850,1335,,,5.33,1,,,,,,,,,,,,,,,0.24199
1974,,2,,15,14,1,0,20,19,1,0,1325,1335,1300,1315,1750,1780,,,5.09,1,,,,,,,,,,,,,,,0.269745
1975,,2,,19,18,1,0,26,24,1,0,1360,1335,1345,1335,1585,1485,,,6.01,1,,,,,,,,,,,,,,,0.287627
1976,,2,,22,21,1,0,30,28,1,0,1360,1335,1345,1335,1775,1780,,,6.16,1,,,,,,,,,,,,,,,0.302189
1977,,2,,30,29,1,0,46,43,2,0,1525,1335,1495,1335,1855,1335,,,7.08,2,,,,,,,,,,,,,,,0.322139
1978,,2,,42,40,1,0,65,62,3,0,1550,1335,1525,1335,1980,1780,,,6.18,1,,,,,,,,,,,,,,,0.346492
1979,,2,,69,67,2,0,119,114,5,0,1730,1495,1690,1425,2320,1875,,,6.1,2,,,,,,,,,,,,,,,0.381639
1980,,2,,132,129,3,0,237,230,8,0,1795,1780,1775,1780,2220,2135,,,5.68,1,,,,,,,,,,,,,,,0.42186
1981,,2,,230,226,3,0,459,448,11,0,1995,2225,1975,2225,2760,2225,2135,2640,5.5,1,,,,,,,,,,,,,,,0.452594
1982,,2,,224,220,3,1,446,436,9,1,1990,2225,1980,2225,2770,2225,2045,2200,5.39,1,,,,,,,,,,,,,,,0.474364
1983,,2,,255,251,3,1,511,498,10,2,2000,2225,1985,2225,2815,2225,2475,2640,5.5,1,,,,,,,,,,,,,,,0.491878
1984,,2,,276,271,3,2,551,537,9,5,2000,2225,1985,2225,2985,2225,2380,2480,5.35,1,,,,,,,,,,,,,,,0.509814
1985,,2,,308,302,4,2,618,602,10,5,2005,2225,1990,2225,2730,2225,2110,2200,5.29,1,,,,,,,,,,,,,,,0.528431
1986,,2,,289,284,2,3,574,562,6,6,1985,2225,1980,2225,2640,2225,2245,2600,5.39,1,,,,,,,,,,,,,,,0.536539
1987,,2,,243,238,1,3,474,462,4,8,1950,2225,1940,2225,4040,3050,2285,2510,5.43,2,,,,,,,,,,,,,,,0.556903
1988,,2,,244,237,1,6,524,501,6,17,2150,2225,2120,2225,5200,6290,2615,2640,5.52,2,,,,,,,,,,,,,,,0.580705
1989,,2,,248,240,1,7,554,530,6,19,2235,2315,2205,2315,4560,4340,2600,2640,5.61,2,,,,,,,,,,,,,,,0.60299
1990,,2,,243,234,1,9,571,541,6,24,2350,2500,2315,2500,5100,2625,2735,2640,5.65,2,,,,,,,,,,,,,,,0.631967
1991,,2,,270,260,1,10,686,653,5,27,2540,2625,2515,2600,4835,2625,2820,2945,5.83,2,,,,,,,,,,,,,,,0.648323
1992,,2,,297,284,1,12,753,712,6,34,2535,2625,2510,2625,4995,2800,2820,2890,5.95,2,,,,,,,,,,,,,,,0.665147
1993,,2,,319,309,1,9,844,810,6,27,2645,2625,2620,2625,5655,3565,3105,3000,5.93,3,,,,,,,,,,,,,,,0.679709
1994,,2,,360,353,1,6,1048,1016,9,23,2910,2625,2880,2625,9050,5615,3570,3250,6.23,3,,,,,,,,,,,,,,,0.694281
1995,,2,,367,360,1,6,1141,1110,8,23,3110,2625,3080,2625,9160,4455,3585,3085,6.33,3,30670,0.39,0.61,0.53,56367.4,0.13,0.09,0.04,22500,13740,44940,22495,11430,20570,0.707602
1996,,2,,389,381,1,7,1222,1185,9,29,3145,2625,3110,2625,10380,6625,3965,3500,6.39,4,31595,0.42,0.62,0.51,55029.5,0.12,0.1,0.04,23230,14170,44850,23220,16380,32185,0.724261
1997,,2,,414,407,1,7,1341,1303,8,30,3235,2625,3205,2625,11665,8000,4190,3875,6.55,4,33275,0.45,0.63,0.49,55298.6,0.13,0.1,0.04,24125,14345,45970,24125,29000,26125,0.732323
1998,,2,,419,412,0,8,1350,1316,2,33,3220,2625,3195,2625,5570,3065,4335,4000,6.46,4,35525,0.48,0.63,0.49,55416.4,0.11,0.09,0.04,26615,15685,48455,26615,2715,46460,0.738253
1999,,2,,394,387,0,8,1272,1236,3,34,3225,2625,3195,2625,6615,3315,4480,4000,6.48,4,37840,0.51,0.62,0.48,54602.7,0.1,0.09,0.04,28075,16315,49605,28065,21720,44860,0.753413
2000,,2,,402,394,0,8,1335,1294,3,38,3320,2625,3285,2625,6905,3500,4830,4000,6.5,5,39470,0.53,0.62,0.49,54086.3,0.1,0.09,0.04,30235,17205,50520,30240,19315,44645,0.77168
2001,,2,,416,407,1,8,1408,1365,4,39,3385,2625,3350,2625,5970,3155,4715,4000,6.57,5,40680,0.53,0.62,0.5,53971.2,0.1,0.09,0.04,30990,18190,51490,30985,30370,37630,0.779909
2002,,2,,503,494,0,8,1788,1737,4,47,3555,2625,3515,2625,7760,5680,5705,4000,6.46,5,41755,0.53,0.62,0.5,54586.8,0.1,0.09,0.04,32095,18435,53735,32095,28035,39785,0.796383
2003,,2,,605,593,1,11,2271,2206,4,60,3755,2625,3720,2625,6415,4525,5435,4245,6.4,5,41540,0.52,0.63,0.5,54950,0.1,0.09,0.04,31405,18130,52450,31385,27300,54245,0.811654
2004,,2,,688,675,0,13,2665,2588,2,75,3875,2810,3835,2710,5995,3040,5755,4500,6.23,5,41200,0.52,0.64,0.5,54797.8,0.11,0.09,0.04,30945,18255,51685,30925,25315,41595,0.834702
2005,,2,,746,730,0,16,2986,2882,5,99,4005,3235,3950,3125,7255,3525,6230,5000,6,5,41930,0.53,0.64,0.5,54887.6,0.11,0.09,0.04,31415,18085,52250,31380,49200,43355,0.858669
2006,,2,,775,759,0,16,3168,3061,4,102,4085,3310,4030,3310,7835,3255,6325,4500,5.93,5,42215,0.55,0.65,0.49,55140.6,0.11,0.09,0.04,31640,17655,51700,31600,42900,37990,0.876992
2007,,2,,803,789,0,15,3621,3518,5,98,4505,3500,4460,3500,9350,4900,6720,5000,5.84,4,42330,0.56,0.65,0.49,55165.8,0.12,0.09,0.04,31670,17605,51050,31650,51875,44890,0.906824
2008,,2,,862,850,0,13,4438,4345,5,88,5145,4250,5115,4225,11790,4305,6790,5000,5.58,4,42630,0.56,0.65,0.48,55379.5,0.12,0.09,0.04,31200,16480,51140,31180,30500,39850,0.910217
2009,,2,,1101,1088,0,13,6390,6283,4,103,5805,4855,5775,4820,8870,6010,7870,5500,5.29,4,42760,0.55,0.63,0.49,55716.1,0.12,0.09,0.04,30645,15995,51170,30630,78095,42470,0.929017
2010,,2,,1249,1236,1,14,7323,7215,10,99,5865,5000,5840,4970,6140,4750,7280,5220,5.05,3,40225,0.52,0.62,0.49,55558.1,0.13,0.09,0.04,27825,14935,49120,27820,28360,38490,0.941916
2011,,2,,1465,1448,2,18,8759,8606,14,138,5975,5000,5945,5000,6170,5000,7610,5445,4.88,3,39340,0.53,0.62,0.5,55704.5,0.13,0.09,0.04,26500,14195,47160,26490,26120,34390,0.965479
2012,,2,,1464,1450,1,13,8620,8492,8,119,5890,5000,5855,5000,5900,4500,9085,6400,4.55,2,38155,0.53,0.63,0.49,55659,0.14,0.1,0.04,25625,13325,45615,25605,38175,32925,0.980216
2013,,2,,1392,1382,0,11,7980,7872,6,102,5730,4815,5695,4780,6455,4245,9160,6200,4.22,2,38500,0.55,0.62,0.48,55876.8,0.15,0.1,0.04,25835,13120,44675,25835,34490,28945,0.992323
2014,,2,,1217,1207,0,12,7236,7121,5,110,5945,5250,5900,5250,9420,5000,9460,7310,3.93,1,39355,0.56,0.62,0.47,55963.7,0.15,0.1,0.04,26555,13125,45420,26565,40175,21645,1
1970,,3,,51,51,0,0,63,62,0,0,1240,890,1235,890,1335,1335,,,6.1,1,,,,,,,,,,,,,,,0.209694
1971,,3,,53,53,0,0,69,68,0,0,1295,1075,1290,1070,1170,1335,,,6.25,2,,,,,,,,,,,,,,,0.217343
1972,,3,,47,47,0,0,64,64,1,0,1360,1335,1345,1335,1340,1335,,,6.41,2,,,,,,,,,,,,,,,0.224633
1973,,3,,47,47,0,0,70,70,1,0,1510,1335,1490,1335,1475,1335,,,6.56,2,,,,,,,,,,,,,,,0.24199
1974,,3,,47,47,0,0,78,76,2,0,1660,1335,1625,1335,1615,1335,,,7.12,3,,,,,,,,,,,,,,,0.269745
1975,,3,,51,51,0,0,92,90,2,0,1805,1335,1760,1335,1950,1780,,,7.11,3,,,,,,,,,,,,,,,0.287627
1976,,3,,59,59,0,0,109,105,4,0,1865,1335,1795,1335,2175,1780,,,6.95,3,,,,,,,,,,,,,,,0.302189
1977,,3,,79,79,0,0,165,158,8,0,2095,1780,2000,1780,2625,2225,,,6.86,3,,,,,,,,,,,,,,,0.322139
