fy,full_sample,sel_index,typen,active_borrowers,active_undergrad_bor,active_grad_bor,active_parplus_bor,tot_vol,undergrad_loans,grad_loans,parplus_loans,mn_tot_vol,md_tot_vol,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,mn_duration_borrowing,md_duration_borrowing,mn_fam_inc,dependent,female,first_gen,median_hh,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc,cpi_adj
2007,,,3,776,764,0,13,3464,3382,3,79,4465,3500,4430,3500,6010,4410,6260,4500,5.86,5,42410,0.56,0.65,0.48,55226.1,0.11,0.09,0.04,31790,17785,51225,31765,27015,47790,0.906824
2008,,,3,834,823,0,11,4246,4180,1,65,5090,4115,5075,4090,3350,1750,6015,5000,5.59,4,42680,0.56,0.65,0.48,55427.9,0.12,0.09,0.04,31370,16615,51250,31355,28410,40720,0.910217
2009,,,3,1067,1056,0,11,6133,6055,2,77,5750,4750,5730,4750,4635,4750,7115,5000,5.32,4,42855,0.55,0.63,0.49,55756.3,0.12,0.09,0.04,30780,16135,51420,30770,73435,44675,0.929017
2010,,,3,1214,1203,1,11,7068,6984,7,77,5825,4875,5805,4855,5150,4500,6770,5000,5.07,3,40265,0.52,0.61,0.49,55567.8,0.13,0.09,0.04,27910,15020,49445,27905,28730,38550,0.941916
2011,,,3,1429,1414,2,16,8479,8356,12,111,5935,5000,5910,5000,5800,5000,7080,5150,4.89,3,39295,0.53,0.62,0.5,55715.4,0.13,0.09,0.04,26495,14225,47255,26490,26615,34135,0.965479
2012,,,3,1429,1418,1,11,8362,8261,7,95,5850,4940,5825,4905,5205,4285,8625,6175,4.55,2,38135,0.53,0.62,0.49,55691.3,0.14,0.1,0.04,25665,13360,45725,25655,34355,30585,0.980216
2013,,,3,1359,1351,0,9,7720,7639,4,77,5680,4750,5655,4750,4715,3950,8435,6000,4.22,2,38415,0.55,0.62,0.48,55903.1,0.15,0.1,0.04,25830,13130,44685,25825,22820,28585,0.992323
2014,,,3,1185,1177,0,9,6971,6890,1,80,5885,5250,5855,5230,3830,3500,8795,6975,3.92,1,39360,0.56,0.62,0.47,55985.7,0.15,0.1,0.04,26600,13140,45625,26610,32545,23985,1
1970,,,4,106,101,5,0,127,118,9,0,1195,890,1170,890,1420,1335,,,5.25,1,,,,,,,,,,,,,,,0.209694
1971,,,4,121,114,7,0,153,142,11,0,1260,1070,1240,1050,1420,1335,,,5.59,1,,,,,,,,,,,,,,,0.217343
1972,,,4,115,107,7,0,149,137,11,0,1295,1295,1280,1245,1380,1335,,,6.16,2,,,,,,,,,,,,,,,0.224633
1973,,,4,104,96,8,0,142,128,14,0,1360,1335,1330,1310,1525,1335,,,6.67,2,,,,,,,,,,,,,,,0.24199
1974,,,4,111,101,10,0,172,153,19,0,1545,1335,1505,1335,1740,1335,,,6.81,3,,,,,,,,,,,,,,,0.269745
1975,,,4,119,106,13,0,188,163,26,0,1580,1335,1530,1335,1765,1780,,,6.9,3,,,,,,,,,,,,,,,0.287627
1976,,,4,132,116,16,0,215,183,32,0,1630,1335,1575,1335,1775,1780,,,6.85,3,,,,,,,,,,,,,,,0.302189
1977,,,4,177,155,22,0,322,265,57,0,1820,1515,1715,1335,2240,1780,,,6.9,3,,,,,,,,,,,,,,,0.322139
1978,,,4,230,199,31,0,454,359,95,0,1970,1780,1805,1635,2650,2225,,,6.82,3,,,,,,,,,,,,,,,0.346492
1979,,,4,392,341,51,0,839,665,174,0,2140,1960,1950,1780,2975,2415,,,6.26,2,,,,,,,,,,,,,,,0.381639
1980,,,4,702,615,88,0,1576,1242,334,0,2245,2225,2020,2225,3285,3340,,,5.84,2,,,,,,,,,,,,,,,0.42186
1981,,,4,1121,966,154,2,2751,2105,642,4,2455,2225,2180,2225,3880,4450,2625,2640,5.77,2,,,,,,,,,,,,,,,0.452594
1982,,,4,885,752,128,5,2038,1511,514,13,2305,2225,2010,2225,3825,4450,2765,2640,6.08,3,,,,,,,,,,,,,,,0.474364
1983,,,4,933,783,138,12,2206,1603,569,34,2365,2225,2050,2225,3950,4450,2700,2640,6.24,3,,,,,,,,,,,,,,,0.491878
1984,,,4,1035,862,155,18,2482,1779,655,48,2395,2225,2065,2225,4030,4450,2630,2640,6.2,3,,,,,,,,,,,,,,,0.509814
1985,,,4,1108,921,162,25,2686,1918,700,69,2425,2225,2085,2225,4150,4450,2755,2640,6.1,3,,,,,,,,,,,,,,,0.528431
1986,,,4,1017,843,149,25,2419,1720,633,67,2380,2225,2040,2225,4070,4450,2645,2640,6.15,3,,,,,,,,,,,,,,,0.536539
1987,,,4,959,786,140,32,2463,1649,717,97,2570,2225,2095,2225,4885,4450,2995,2640,6.29,4,,,,,,,,,,,,,,,0.556903
1988,,,4,986,784,148,55,2759,1753,831,175,2800,2335,2235,2225,5375,5270,3200,3520,6.33,4,,,,,,,,,,,,,,,0.580705
1989,,,4,1037,807,155,76,3073,1895,926,252,2965,2335,2350,2240,5755,5905,3320,3520,6.34,4,,,,,,,,,,,,,,,0.60299
1990,,,4,1134,878,164,93,3766,2344,1113,310,3320,2625,2670,2600,6500,6755,3325,3520,6.29,4,,,,,,,,,,,,,,,0.631967
1991,,,4,1292,995,182,116,4542,2838,1314,389,3515,2625,2855,2625,6885,7400,3350,3520,6.22,4,,,,,,,,,,,,,,,0.648323
1992,,,4,1451,1115,201,136,5314,3347,1496,471,3665,2665,3000,2625,7120,7500,3450,3520,6.24,4,,,,,,,,,,,,,,,0.665147
1993,,,4,1638,1315,214,110,6933,4704,1788,441,4235,3500,3575,2850,7995,7500,4015,4000,6.25,4,,,,,,,,,,,,,,,0.679709
1994,,,4,1912,1559,246,108,9553,6566,2438,549,4995,3760,4210,3500,9365,8500,5070,4000,6.31,4,,,,,,,,,,,,,,,0.694281
1995,,,4,2017,1639,261,119,10676,7243,2778,655,5290,4050,4420,3500,10025,8500,5515,4645,6.3,4,47880,0.66,0.55,0.37,59262.8,0.14,0.09,0.04,37625,14850,56030,40080,16060,41685,0.707602
1996,,,4,2248,1819,282,149,12323,8295,3130,898,5480,4375,4560,3500,10540,8500,6040,5000,6.34,4,49875,0.69,0.56,0.36,54683,0.11,0.11,0.04,39875,15495,57200,42230,19110,59765,0.724261
1997,,,4,2381,1924,296,162,13455,8999,3431,1025,5650,4600,4680,3665,10970,9095,6330,5330,6.4,4,50905,0.71,0.57,0.36,53533.1,0.11,0.1,0.04,41540,15915,57670,43920,19960,56190,0.732323
1998,,,4,2430,1947,307,178,13810,9022,3614,1174,5685,4580,4635,3650,11190,9510,6610,5500,6.43,5,53120,0.74,0.57,0.35,56569.9,0.13,0.1,0.04,43925,16585,58475,46335,22415,51470,0.738253
1999,,,4,2399,1925,299,176,13766,8859,3708,1199,5740,4510,4600,3500,11840,10145,6815,5825,6.47,5,54940,0.76,0.58,0.36,59870.8,0.11,0.09,0.03,46005,16685,59540,48155,24900,56755,0.753413
2000,,,4,2480,1975,313,193,14922,9407,4130,1385,6020,4985,4765,3750,12590,10940,7175,6000,6.41,5,57140,0.77,0.57,0.36,60405.1,0.11,0.08,0.03,48220,17395,60970,50420,28540,55680,0.77168
2001,,,4,2537,2009,325,204,15507,9570,4389,1549,6115,5000,4765,3800,12920,11500,7590,6490,6.39,5,59190,0.78,0.58,0.36,60569.5,0.11,0.08,0.03,49845,17760,62275,52235,31235,53570,0.779909
2002,,,4,2712,2131,359,224,17224,10422,5013,1789,6350,5250,4890,4035,13405,12210,7975,7000,6.35,5,60890,0.78,0.58,0.36,60745.1,0.11,0.08,0.03,51465,18450,63635,53485,35325,56000,0.796383
2003,,,4,2934,2270,404,262,19641,11503,5868,2270,6695,5500,5065,4485,13940,12815,8670,7490,6.3,5,61480,0.78,0.58,0.36,60601.3,0.11,0.08,0.03,51350,18545,63875,53385,37030,58820,0.811654
2004,,,4,3112,2377,436,303,21824,12355,6580,2889,7010,5500,5195,4885,14580,13655,9545,8005,6.19,5,62105,0.78,0.58,0.35,60750.8,0.12,0.09,0.03,51470,18425,63945,53360,39275,52710,0.834702
2005,,,4,3220,2446,453,325,23296,12948,7033,3315,7235,5500,5295,5030,15035,14395,10195,8900,6.12,5,62780,0.79,0.58,0.35,61000.1,0.12,0.08,0.03,51750,18365,64060,53690,40295,51425,0.858669
2006,,,4,3224,2447,462,318,23868,12930,7621,3317,7405,5500,5285,5085,15950,14685,10430,9000,6.02,5,63550,0.79,0.58,0.35,61185.5,0.12,0.08,0.03,52465,18170,64385,54310,41420,48895,0.876992
2007,,,4,3216,2437,480,303,25448,13620,8543,3285,7910,5500,5590,5100,17295,15405,10840,9335,5.92,4,64260,0.8,0.58,0.35,61415.4,0.12,0.08,0.03,52920,17850,64815,54690,43410,47955,0.906824
2008,,,4,3338,2549,505,287,29348,16684,9505,3159,8795,6500,6545,5500,18260,16260,11000,9475,5.79,4,65855,0.81,0.58,0.34,61936.2,0.12,0.08,0.03,54015,18100,65760,55735,44235,47720,0.910217
2009,,,4,3752,2873,561,323,35330,20715,10896,3718,9420,7500,7210,6500,18805,16965,11530,9960,5.66,4,67420,0.81,0.58,0.34,62358.9,0.12,0.08,0.03,54750,18190,66495,56475,45465,45680,0.929017
2010,,,4,3989,3033,596,367,37771,21588,11864,4319,9470,7400,7115,6500,19265,17000,11775,10000,5.56,4,66880,0.8,0.58,0.34,62570.4,0.12,0.08,0.03,53615,17985,65875,55140,46210,39655,0.941916
2011,,,4,4287,3253,631,413,41448,23355,12966,5127,9670,7500,7180,6500,19945,17520,12410,10110,5.34,3,66075,0.8,0.58,0.34,62699.8,0.12,0.08,0.03,51930,17770,64125,53405,45930,33180,0.965479
2012,,,4,4115,3205,581,335,39660,22871,12308,4481,9635,7450,7135,6500,20620,18790,13390,11395,5.01,3,65535,0.81,0.58,0.34,62839.6,0.12,0.08,0.03,51180,17300,62895,51915,47585,37500,0.980216
2013,,,4,4019,3135,555,333,38849,22109,12087,4652,9665,7250,7050,6500,21265,19500,13965,12000,4.62,3,66095,0.82,0.58,0.33,63112.1,0.12,0.08,0.03,51490,17595,62695,52185,48640,36000,0.992323
2014,,,4,3977,3082,550,351,39846,22378,12373,5095,10020,7500,7260,6500,21970,20310,14525,12410,4.15,2,66510,0.82,0.58,0.33,63361.2,0.12,0.08,0.03,51725,17155,62565,52525,48305,35630,1
1970,,,5,3,3,0,0,3,3,0,0,1070,890,1050,890,1495,1425,,,5.5,0,,,,,,,,,,,,,,,0.209694
1971,,,5,4,4,0,0,4,4,0,0,1105,890,1100,890,1225,1335,,,4.85,1,,,,,,,,,,,,,,,0.217343
1972,,,5,4,4,0,0,5,5,0,0,1230,1270,1195,1245,2560,1560,,,5.42,1,,,,,,,,,,,,,,,0.224633
1973,,,5,4,4,0,0,5,5,0,0,1350,1335,1295,1335,2375,1780,,,7.02,1,,,,,,,,,,,,,,,0.24199
1974,,,5,4,4,0,0,6,6,1,0,1485,1335,1420,1335,2150,1780,,,6.27,1,,,,,,,,,,,,,,,0.269745
1975,,,5,5,5,0,0,8,7,0,0,1585,1335,1575,1335,1730,1780,,,6.57,2,,,,,,,,,,,,,,,0.287627
1976,,,5,6,6,0,0,10,10,1,0,1615,1335,1595,1335,2005,1780,,,6.65,2,,,,,,,,,,,,,,,0.302189
1977,,,5,9,8,1,0,16,14,2,0,1835,1355,1765,1335,2435,1780,,,7.2,2,,,,,,,,,,,,,,,0.322139
1978,,,5,10,10,0,0,19,18,1,0,1875,1780,1845,1780,2335,1870,,,6.48,2,,,,,,,,,,,,,,,0.346492
1979,,,5,15,15,1,0,31,29,2,0,2020,2000,1955,1960,3235,2225,,,6.17,2,,,,,,,,,,,,,,,0.381639
1980,,,5,23,22,1,0,47,45,2,0,2045,2225,2000,2225,3070,2665,,,5.76,1,,,,,,,,,,,,,,,0.42186
1981,,,5,34,33,1,0,74,70,4,0,2190,2225,2130,2225,3775,4450,2400,2640,5.48,1,,,,,,,,,,,,,,,0.452594
1982,,,5,31,30,1,0,67,64,3,0,2190,2225,2145,2225,3625,4450,2560,2640,5.97,2,,,,,,,,,,,,,,,0.474364
1983,,,5,32,30,1,0,70,65,4,1,2225,2225,2170,2225,3530,4450,2760,2640,5.7,2,,,,,,,,,,,,,,,0.491878
1984,,,5,31,30,1,0,69,64,4,1,2210,2225,2155,2225,3925,4450,2385,2640,5.69,2,,,,,,,,,,,,,,,0.509814
1985,,,5,36,35,1,1,80,75,4,1,2220,2225,2160,2225,4390,4450,2255,2200,5.39,1,,,,,,,,,,,,,,,0.528431
1986,,,5,31,30,1,1,66,62,2,2,2145,2225,2110,2225,3705,3955,2390,2640,5.08,1,,,,,,,,,,,,,,,0.536539
1987,,,5,29,27,0,1,64,60,2,2,2255,2225,2205,2225,5430,4450,2360,2585,5.14,1,,,,,,,,,,,,,,,0.556903
1988,,,5,33,30,1,2,91,82,4,5,2775,2335,2695,2335,5815,6675,2930,3520,4.8,1,,,,,,,,,,,,,,,0.580705
1989,,,5,35,33,1,2,103,94,4,4,2965,2335,2900,2335,5735,6275,2795,2640,5.07,1,,,,,,,,,,,,,,,0.60299
1990,,,5,33,30,0,2,96,88,4,5,2960,2625,2885,2625,6935,7500,2975,3520,5.11,1,,,,,,,,,,,,,,,0.631967
1991,,,5,34,32,1,2,106,97,4,5,3075,2625,3015,2625,6170,7500,2980,3520,5.15,1,,,,,,,,,,,,,,,0.648323
1992,,,5,36,33,1,2,119,108,4,6,3310,2625,3255,2625,7060,7500,3105,3520,5.18,2,,,,,,,,,,,,,,,0.665147
1993,,,5,34,32,0,2,119,107,5,7,3495,2625,3375,2625,9845,7500,3915,4000,5.28,2,,,,,,,,,,,,,,,0.679709
1994,,,5,34,31,1,2,131,116,7,8,3895,3155,3695,2815,13255,13500,4585,3700,5.71,2,,,,,,,,,,,,,,,0.694281
1995,,,5,29,27,0,2,122,110,7,6,4190,3500,4025,3500,16585,18500,3885,3460,5.63,2,31345,0.42,0.64,0.51,58288.9,0.15,0.1,0.04,22195,17220,33715,22465,35045,11665,0.707602
1996,,,5,28,26,1,2,120,105,8,8,4300,3500,4070,3500,14685,16900,4485,3790,5.41,2,33095,0.42,0.66,0.51,60154.3,0.18,0.1,0.04,21645,12895,41045,21610,29300,46495,0.724261
1997,,,5,24,21,0,2,107,90,7,10,4490,3500,4210,3500,15740,17630,4930,4265,5.21,2,38140,0.47,0.65,0.48,55205.5,0.21,0.12,0.04,25930,14755,43210,25930,52575,11080,0.732323
1998,,,5,22,19,0,2,95,84,0,11,4400,3500,4305,3500,17000,17000,5120,4500,5.13,2,40470,0.49,0.61,0.51,60214.9,0.08,0.09,0.04,29315,18890,44680,29315,,,0.738253
1999,,,5,18,17,0,2,81,72,1,8,4405,3500,4310,3500,12565,12565,5090,4000,5.39,2,45885,0.57,0.62,0.47,57271.1,0.15,0.1,0.04,30740,21490,45955,30750,12005,28315,0.753413
2000,,,5,20,18,0,2,88,76,1,11,4485,3500,4315,3500,18500,18500,5525,4875,5.39,3,42570,0.55,0.59,0.5,55088.1,0.15,0.11,0.04,31935,21495,47550,31865,20210,48900,0.77168
2001,,,5,20,18,0,2,96,83,2,12,4790,3790,4595,3545,13775,8500,5970,5000,5.74,3,40810,0.52,0.62,0.5,54525.4,0.15,0.11,0.04,30080,22260,49905,30070,64955,37490,0.779909
2002,,,5,21,19,0,2,108,92,3,13,5065,4000,4715,3940,15905,18500,7680,5020,5.23,3,43280,0.53,0.62,0.52,54231.7,0.16,0.11,0.04,30555,19230,50425,30555,33840,47910,0.796383
2003,,,5,23,21,0,2,117,101,2,15,5075,4275,4805,4000,13360,18370,7295,6000,5.4,3,44235,0.5,0.62,0.51,54937.8,0.15,0.1,0.04,31430,16805,57180,31250,42460,58105,0.811654
2004,,,5,24,23,0,2,123,107,1,15,5010,4165,4725,3980,12625,18500,7925,5400,5.12,3,45160,0.54,0.65,0.53,56368.8,0.15,0.1,0.04,30270,16160,53015,30270,41580,87670,0.834702
2005,,,5,25,23,0,2,139,116,3,21,5500,4810,5015,4705,20280,15250,9405,6715,5.44,3,44700,0.53,0.65,0.51,54924.8,0.16,0.11,0.04,29375,15790,51960,29245,29740,48495,0.858669
2006,,,5,25,22,0,2,142,114,2,26,5690,4815,5065,4600,24215,23325,10725,8000,5.74,4,41145,0.55,0.67,0.5,54008.9,0.17,0.11,0.04,27820,13450,50250,27630,80770,28860,0.876992
2007,,,5,27,25,0,2,158,136,2,19,5760,5000,5365,4635,24365,20500,9645,8000,5.19,3,39895,0.56,0.66,0.55,53334.3,0.15,0.11,0.04,27360,13070,43565,27035,92295,40090,0.906824
2008,,,5,29,26,0,2,192,165,4,23,6720,5840,6270,5595,33730,20500,10770,9285,5.13,3,41005,0.54,0.64,0.5,53860.5,0.19,0.12,0.04,27580,12925,45790,27185,92295,36025,0.910217
2009,,,5,34,32,0,2,257,228,2,27,7540,6750,7205,6500,19870,8500,11325,9300,4.58,2,39570,0.55,0.65,0.52,54398.2,0.2,0.12,0.04,26945,12945,42525,26930,92295,20100,0.929017
2010,,,5,35,33,0,2,256,231,3,22,7295,6485,7070,6485,10905,9500,9935,6000,4.38,2,38835,0.52,0.64,0.52,55213.6,0.2,0.11,0.04,25205,12105,39335,25205,13420,34870,0.941916
2011,,,5,37,34,0,3,280,251,2,28,7650,6500,7365,6500,10680,10250,10910,7975,4.51,2,41145,0.54,0.64,0.52,55276.4,0.19,0.11,0.04,26660,12710,41900,26195,9175,35935,0.965479
2012,,,5,34,32,0,2,257,231,2,24,7485,6500,7200,6500,12850,9500,11460,8000,4.4,2,39075,0.56,0.68,0.5,54290.2,0.18,0.12,0.04,23720,11875,42975,23470,44195,41965,0.980216
2013,,,5,33,31,0,2,260,232,2,25,7785,7000,7420,6865,16305,20500,12445,9745,4.25,1,42015,0.59,0.64,0.48,54761,0.17,0.12,0.04,26400,13015,43955,26235,48000,32670,0.992323
2014,,,5,32,30,0,2,265,231,4,30,8195,7500,7785,7140,19900,20500,11930,9800,4.34,1,39170,0.59,0.62,0.48,55127.3,0.17,0.11,0.04,24515,12485,38950,24435,48000,8860,1
1970,,,6,77,70,7,0,95,84,11,0,1240,890,1210,890,1455,1335,,,5.55,1,,,,,,,,,,,,,,,0.209694
1971,,,6,82,73,9,0,107,94,13,0,1310,1335,1285,1155,1450,1335,,,6.21,2,,,,,,,,,,,,,,,0.217343
1972,,,6,86,75,10,0,119,103,16,0,1380,1335,1365,1335,1410,1335,,,6.65,2,,,,,,,,,,,,,,,0.224633
1973,,,6,93,79,14,0,143,118,25,0,1545,1335,1490,1335,1725,1335,,,6.62,2,,,,,,,,,,,,,,,0.24199
1974,,,6,97,82,15,0,162,130,31,0,1670,1335,1590,1335,1905,1780,,,7.19,3,,,,,,,,,,,,,,,0.269745
1975,,,6,107,90,17,0,190,154,36,0,1785,1335,1710,1335,1970,1780,,,7.18,3,,,,,,,,,,,,,,,0.287627
1976,,,6,134,110,24,0,242,187,55,0,1805,1515,1710,1335,2000,1780,,,7.03,3,,,,,,,,,,,,,,,0.302189
1977,,,6,181,149,31,0,378,284,94,0,2095,1780,1905,1780,2640,2225,,,6.74,3,,,,,,,,,,,,,,,0.322139
1978,,,6,235,191,44,0,544,391,153,0,2310,2135,2040,1780,3030,2225,,,6.7,3,,,,,,,,,,,,,,,0.346492
1979,,,6,389,319,70,0,964,698,266,0,2475,2225,2185,2225,3365,3115,,,6.36,3,,,,,,,,,,,,,,,0.381639
1980,,,6,616,505,112,0,1576,1102,474,0,2555,2225,2185,2225,3665,4450,,,6.01,3,,,,,,,,,,,,,,,0.42186
1981,,,6,878,694,178,6,2409,1597,793,19,2740,2225,2300,2225,4185,4450,3110,2640,5.86,3,,,,,,,,,,,,,,,0.452594
1982,,,6,721,561,149,11,1892,1212,648,32,2625,2225,2160,2225,4205,4450,2865,2640,6.28,3,,,,,,,,,,,,,,,0.474364
1983,,,6,760,582,156,22,2071,1288,720,63,2725,2225,2215,2225,4470,4450,2910,2640,6.33,3,,,,,,,,,,,,,,,0.491878
1984,,,6,811,619,167,25,2235,1374,789,73,2755,2225,2220,2225,4585,4450,2885,2640,6.22,3,,,,,,,,,,,,,,,0.509814
1985,,,6,864,658,174,32,2438,1487,861,90,2820,2225,2260,2225,4790,4450,2850,2640,6.16,3,,,,,,,,,,,,,,,0.528431
1986,,,6,780,593,159,28,2159,1302,779,77,2765,2225,2195,2225,4770,4450,2770,2640,6.07,3,,,,,,,,,,,,,,,0.536539
1987,,,6,777,592,157,27,2522,1440,997,85,3245,2335,2430,2225,6130,6320,3095,2640,6.16,4,,,,,,,,,,,,,,,0.556903
1988,,,6,803,599,165,39,2905,1578,1192,134,3620,2335,2635,2335,6990,6675,3440,3520,6.12,4,,,,,,,,,,,,,,,0.580705
1989,,,6,830,609,167,55,3140,1676,1276,188,3780,2670,2750,2335,7420,6675,3445,3520,6.04,4,,,,,,,,,,,,,,,0.60299
1990,,,6,888,634,185,70,3836,1969,1622,245,4320,3100,3105,2625,8505,7500,3525,3520,6.05,4,,,,,,,,,,,,,,,0.631967
1991,,,6,977,688,204,87,4431,2271,1852,308,4535,3520,3300,2625,8840,7500,3560,3520,6.01,4,,,,,,,,,,,,,,,0.648323
1992,,,6,1068,747,216,106,4971,2570,2018,383,4655,3520,3440,2625,9080,8000,3600,3520,5.99,4,,,,,,,,,,,,,,,0.665147
1993,,,6,1126,806,224,98,6257,3183,2595,480,5555,4000,3950,3500,11290,10845,4905,4000,6.03,4,,,,,,,,,,,,,,,0.679709
1994,,,6,1321,935,274,113,8800,4267,3717,816,6665,5000,4560,3500,13110,12635,7200,5000,6.03,4,,,,,,,,,,,,,,,0.694281
1995,,,6,1345,949,276,121,9410,4492,3974,945,6995,5500,4735,3525,13890,15060,7780,6000,6.06,4,55220,0.65,0.58,0.33,57301.5,0.13,0.13,0.04,45255,22415,61140,48565,27140,55450,0.707602
1996,,,6,1431,1003,297,132,10362,4842,4427,1093,7245,5500,4830,3760,14420,16000,8260,6430,6.18,4,56950,0.68,0.58,0.32,56995.9,0.12,0.12,0.04,47190,22205,62090,50790,26530,47490,0.724261
1997,,,6,1519,1058,313,149,11628,5303,4999,1325,7655,5500,5010,4090,15455,16840,8870,7000,6.2,4,58490,0.7,0.59,0.31,59281,0.13,0.11,0.04,49115,22510,62835,52560,27455,54375,0.732323
1998,,,6,1555,1082,319,155,12041,5433,5169,1438,7745,5500,5025,4300,15635,16930,9295,7500,6.25,4,60465,0.73,0.59,0.31,62821.2,0.13,0.09,0.04,51170,22665,64290,55020,28125,49495,0.738253
1999,,,6,1556,1078,323,156,12214,5329,5396,1490,7850,5500,4940,4000,16195,17305,9535,7500,6.31,4,62080,0.74,0.59,0.31,65132.3,0.11,0.08,0.03,52625,22290,65040,56565,30005,50215,0.753413
2000,,,6,1622,1124,333,167,13313,5775,5853,1685,8210,5500,5140,4410,17040,18500,10100,8000,6.33,4,64165,0.75,0.59,0.32,65064.4,0.11,0.08,0.03,54515,23025,66835,58405,33640,48655,0.77168
2001,,,6,1675,1158,351,167,13968,6040,6134,1794,8340,5500,5215,4815,16990,18500,10725,8500,6.38,4,66190,0.75,0.59,0.32,65238.9,0.11,0.08,0.03,55380,24140,67885,59695,35780,55690,0.779909
2002,,,6,1769,1199,390,181,15402,6341,6967,2094,8705,5500,5290,5125,17405,18500,11545,9365,6.42,5,67935,0.75,0.6,0.32,65402.3,0.11,0.08,0.03,56445,25105,69145,60905,38345,50905,0.796383
2003,,,6,1900,1262,434,206,17093,6842,7708,2544,9000,5500,5425,5250,17265,18500,12365,10000,6.42,5,68300,0.74,0.6,0.31,65468.1,0.11,0.08,0.03,55790,24940,69170,60165,40250,49815,0.811654
2004,,,6,2009,1313,468,230,18735,7205,8410,3120,9325,5875,5485,5450,17530,18500,13540,11000,6.35,4,68735,0.74,0.6,0.31,65512.1,0.11,0.08,0.03,56085,24675,69835,60550,41810,50245,0.834702
2005,,,6,2076,1348,489,241,19772,7423,8854,3495,9525,6000,5505,5500,17675,18500,14475,12000,6.36,4,69325,0.74,0.61,0.31,65667.4,0.11,0.08,0.03,56670,24845,70155,60770,43660,52350,0.858669
2006,,,6,2098,1371,500,230,21186,7543,10134,3509,10100,6000,5500,5500,19815,18500,15260,12575,6.33,4,70120,0.75,0.61,0.3,65555.7,0.11,0.08,0.03,57080,24150,70590,61215,45190,49675,0.876992
2007,,,6,2108,1375,525,212,23328,7985,12026,3317,11065,6105,5805,5500,22370,20250,15680,13000,6.32,4,71030,0.76,0.61,0.3,65695.6,0.11,0.08,0.03,57750,24370,70875,61510,47215,47830,0.906824
2008,,,6,2124,1379,551,197,26058,9460,13478,3120,12270,7500,6860,5750,23910,20500,15845,13000,6.32,4,72075,0.77,0.61,0.3,65699,0.11,0.08,0.03,57605,24080,71440,61925,47260,46370,0.910217
2009,,,6,2366,1527,620,223,31495,11863,16043,3589,13310,8375,7770,6695,25135,20500,16100,13395,6.25,4,72995,0.76,0.61,0.3,65890.8,0.11,0.08,0.03,57365,23445,71660,61210,47970,42725,0.929017
2010,,,6,2405,1518,644,248,32086,11412,16679,3995,13340,7895,7515,6500,25245,20500,16120,13200,6.25,4,72110,0.75,0.61,0.3,66032.3,0.11,0.08,0.03,55685,22220,70725,59325,47940,38010,0.941916
2011,,,6,2630,1666,688,285,36105,12879,18279,4947,13730,8500,7730,6500,25905,20500,17360,14460,6.17,3,71215,0.75,0.61,0.31,65974,0.11,0.08,0.03,54615,22160,69525,57780,48175,32665,0.965479
2012,,,6,2509,1626,655,233,34329,12390,17627,4313,13685,8250,7620,6500,26335,20500,18525,15195,5.99,3,71110,0.76,0.61,0.31,65873.9,0.12,0.08,0.03,54040,21630,68820,56935,47530,36800,0.980216
2013,,,6,2444,1592,627,231,33967,12098,17328,4541,13895,8040,7595,6500,27035,20500,19660,16000,5.71,3,70705,0.77,0.62,0.31,65861.8,0.12,0.08,0.03,53505,21455,67445,55975,48285,35345,0.992323
2014,,,6,2452,1592,634,232,34522,12216,17651,4655,14080,8300,7675,6535,27270,20500,20080,16785,5.27,2,70640,0.77,0.62,0.3,65603.7,0.12,0.08,0.03,52560,20790,66735,55105,47870,31620,1
