full_sample,sel_index,typen,fy,borrowers,mn_earnings,md_earnings,p25_earnings,p75_earnings,mn_tot_inc,md_tot_inc,unemployed,in_pov,near_pov,mn_debt_service,mn_grad2_earnings,mn_grad4_earnings,mn_grad0_earnings,md_debt_service,mn_tot_bal,md_tot_bal,mn_undergrad_l,md_undergrad,mn_grad_l,md_grad_l
1,,,1999,10924,41500,33500,18388,51798,51000,37250,0.151,0.235,0.318,3140,28250,42750,32750,2075,13105,6880,9535,6095,28145,16825
1,,,2000,11141,43250,35000,19294,53657,53750,39500,0.146,0.222,0.302,3155,30000,46500,35500,2085,14255,7505,10255,6540,30275,18310
1,,,2001,11348,45000,36750,20125,56162,54750,41250,0.152,0.208,0.285,3290,32750,50000,38000,2160,15610,8240,11100,7105,32990,19930
1,,,2002,11673,43750,36250,19639,55642,53750,40750,0.161,0.217,0.294,3295,32000,49000,37500,2165,16585,8695,11685,7505,34665,20770
1,,,2003,12160,43750,36000,19505,55791,53500,40250,0.169,0.221,0.299,3245,32000,49500,37750,2130,17415,9020,12160,7805,36050,21530
1,,,2004,12811,43750,36000,19542,55945,54000,40250,0.167,0.219,0.297,3190,32000,50000,38000,2085,18075,9310,12485,8040,37045,22370
1,,,2005,13700,43750,35750,19456,55617,54250,40000,0.162,0.217,0.296,3165,32000,50250,38250,2065,18875,9825,12845,8300,38265,23530
1,,,2006,14696,44750,36250,19834,56657,55500,40750,0.158,0.214,0.292,3200,32500,51750,38750,2100,19715,10465,13305,8755,39245,25000
1,,,2007,15539,45250,36500,20025,57189,56250,41250,0.157,0.212,0.29,3235,32500,53000,38500,2135,19970,10760,13495,8990,39125,25465
1,,,2008,16519,46750,37750,20557,59355,57750,42000,0.161,0.21,0.287,3295,33500,55500,39250,2170,20765,11235,13975,9395,40360,26560
1,,,2009,17937,45000,36250,18888,58041,55000,39750,0.182,0.228,0.311,3355,32000,53500,37250,2185,21165,11365,14120,9540,41165,27100
1,,,2010,19469,44500,35250,18123,57330,44500,38750,0.188,0.229,0.316,3450,31500,53250,36250,2225,21865,11595,14500,9880,42655,27760
1,,,2011,21510,44000,34250,17605,56176,53750,37250,0.187,0.239,0.329,3550,30750,52750,35250,2265,22575,11880,15015,10225,43955,28240
1,,,2012,23854,43500,33750,17361,55478,53500,36250,0.183,0.244,0.336,3665,30500,52500,34500,2315,23515,12335,15700,10575,45875,29140
1,,,2013,26179,43000,33250,17263,54893,53000,35750,0.177,0.245,0.34,3795,30500,52250,33750,2380,24615,12885,16510,10990,47975,30200
1,,,2014,28653,43000,33250,17412,54788,51000,34500,0.179,0.256,0.349,3935,31500,52750,32750,2460,25915,13550,17490,11530,50405,31375
,1,,1999,3480,26750,22750,11571,36219,29000,21000,0.244,0.405,0.523,1615,25500,33500,23000,1110,7155,4930,7020,4915,15630,6250
,1,,2000,3414,28000,23750,12155,37863,31000,22250,0.24,0.39,0.506,1590,27250,36250,24750,1100,7515,5080,7350,5065,17395,6700
,1,,2001,3367,29750,25000,12628,39921,32750,24250,0.25,0.365,0.478,1650,29500,38250,26500,1145,8055,5355,7855,5335,19350,7540
,1,,2002,3376,29000,24500,12219,39232,32000,23500,0.267,0.377,0.488,1650,28500,36250,25750,1125,8495,5530,8245,5510,21475,8560
,1,,2003,3450,29000,24750,12374,39500,32000,23250,0.281,0.382,0.492,1620,28250,36250,26000,1065,8860,5670,8565,5650,22945,9460
,1,,2004,3582,29250,24750,12463,39609,32500,23500,0.279,0.378,0.487,1585,28250,36500,26500,1015,9125,5755,8790,5735,23975,10525
,1,,2005,3775,29500,25000,12786,39552,32750,23750,0.27,0.37,0.482,1565,28250,36750,26750,985,9420,5890,9035,5870,25130,12435
,1,,2006,4023,30250,25250,13116,40250,33500,24250,0.259,0.362,0.472,1600,29000,38000,27500,1010,9875,6125,9435,6105,26585,14835
,1,,2007,4274,30250,25250,13170,40157,33750,24250,0.254,0.358,0.473,1650,28750,38500,27500,1040,10175,6295,9685,6270,27345,16900
,1,,2008,4565,31000,25750,13395,41185,34500,24750,0.259,0.353,0.468,1710,29250,39750,28000,1070,10740,6625,10180,6590,29140,18955
,1,,2009,4972,29500,24250,12333,39755,32500,23000,0.291,0.377,0.498,1765,27750,37750,26750,1115,11145,6895,10510,6860,30830,21225
,1,,2010,5483,29000,23500,11873,38798,-4500,22500,0.298,0.377,0.503,1845,27250,37500,25750,1175,11755,7275,11050,7235,32960,23780
,1,,2011,6172,28500,22750,11650,37714,31750,21750,0.291,0.387,0.515,1955,26500,36500,25000,1260,12700,8035,11915,7985,34630,25170
,1,,2012,6909,28500,22750,11829,37561,31750,21500,0.281,0.39,0.52,2085,26500,36000,25250,1365,13765,8605,12875,8550,37195,27500
,1,,2013,7558,28500,22750,12015,37553,32000,21750,0.268,0.387,0.517,2225,26500,35750,25250,1410,14940,9220,13945,9150,39260,29680
,1,,2014,8188,29000,23250,12406,38019,31500,21750,0.262,0.392,0.517,2380,27250,36250,25250,1455,16295,9890,15140,9820,41465,31405
,2,,1999,1253,31750,27500,15388,42405,39250,30250,0.173,0.281,0.388,1940,32000,39000,25750,1080,9095,5155,8225,5075,26020,13055
,2,,2000,1276,33000,28500,15985,43724,41000,31500,0.168,0.271,0.373,1935,34000,42000,27750,1075,9855,5410,8840,5320,28890,15010
,2,,2001,1298,34500,30000,16639,45958,42500,33000,0.179,0.259,0.358,2020,36750,45250,29750,1100,10750,5730,9570,5640,31625,16165
,2,,2002,1329,34000,29750,15973,45903,41500,32500,0.194,0.274,0.37,2040,36500,44750,29250,1105,11405,5940,10095,5825,32875,17280
,2,,2003,1380,34000,29500,15783,46021,41250,31750,0.202,0.282,0.378,2025,37000,44500,29250,1085,11935,6030,10480,5920,34110,18265
,2,,2004,1463,34000,29250,15686,45882,41500,31750,0.205,0.282,0.38,1990,37250,44750,29500,1055,12300,6045,10730,5930,34795,19360
,2,,2005,1575,33750,28750,15633,45447,41250,31000,0.202,0.283,0.383,1980,36750,44750,29250,1045,12725,6150,11050,6035,35295,20515
,2,,2006,1705,34500,29250,15911,46031,42000,31750,0.199,0.278,0.375,2005,37500,46000,29500,1060,13250,6400,11435,6285,36245,21690
,2,,2007,1830,34250,29250,15872,46051,42250,31500,0.196,0.278,0.377,2065,37500,46750,29250,1100,13585,6610,11700,6480,36470,22490
,2,,2008,1968,35500,30250,16275,47661,43250,32000,0.203,0.275,0.372,2120,38750,48500,30000,1135,14245,6980,12250,6845,37630,23795
,2,,2009,2177,34000,28750,14724,46292,41000,29750,0.228,0.299,0.402,2160,36750,46750,28250,1175,14545,7200,12485,7045,38180,25035
,2,,2010,2393,33500,27750,14236,45357,40500,29250,0.233,0.299,0.407,2245,36250,46000,27500,1240,15175,7585,12970,7410,39800,26565
,2,,2011,2748,32500,26750,13814,44031,39250,27750,0.231,0.312,0.424,2320,35250,45500,26750,1305,15790,8055,13515,7860,41080,27300
,2,,2012,3200,32000,26000,13569,42973,38750,26750,0.222,0.318,0.433,2385,34000,44750,26250,1355,16480,8470,14150,8280,43130,28985
,2,,2013,3690,31500,25500,13496,42113,38250,26250,0.213,0.32,0.44,2470,34000,44500,25750,1400,17270,8875,14885,8675,45105,30685
,2,,2014,4252,31500,25500,13647,42069,37000,25750,0.209,0.325,0.443,2570,34750,45000,25250,1460,18300,9460,15815,9240,47220,32540
,3,,1999,1418,38500,32750,18935,48526,49500,37750,0.121,0.198,0.287,2740,28750,36750,29250,1825,13425,7570,10740,6960,26930,14745
,3,,2000,1480,39250,33750,19464,49918,51000,39250,0.119,0.192,0.277,2770,31250,39250,31250,1870,14495,8190,11540,7470,28880,15980
,3,,2001,1545,40500,34750,19914,51779,51500,40500,0.126,0.184,0.266,2895,33500,42250,33500,1960,15800,8945,12490,8140,31500,17945
,3,,2002,1617,39500,34500,19370,51494,50750,39750,0.134,0.195,0.279,2910,33000,41750,33250,1970,16675,9330,13085,8510,32840,18580
,3,,2003,1708,39500,34250,19173,51709,50250,39250,0.144,0.203,0.288,2885,33000,42500,33500,1950,17460,9660,13575,8760,34115,19050
,3,,2004,1819,39500,34000,19018,51767,50500,39250,0.141,0.203,0.289,2865,32750,43000,33750,1940,18090,10070,13925,9015,35030,20095
,3,,2005,1960,39250,33750,18926,51477,50500,38750,0.139,0.204,0.291,2870,32750,43000,34000,1950,18775,10610,14310,9405,35400,20630
,3,,2006,2117,40250,34500,19208,52354,51250,39250,0.137,0.204,0.29,2935,33500,44000,34500,2015,19665,11300,14865,9975,36175,21830
,3,,2007,2258,40250,34750,19437,52568,51750,39750,0.137,0.201,0.287,3020,34000,44500,34500,2085,20115,11665,15150,10330,36100,22420
,3,,2008,2405,41750,35750,19899,54482,52750,40500,0.142,0.198,0.283,3110,34750,46250,35250,2150,21070,12270,15775,10850,37450,23440
,3,,2009,2613,40250,34500,18299,53264,50750,38500,0.163,0.217,0.307,3180,33250,44750,33750,2200,21545,12480,15995,10970,37985,24245
,3,,2010,2827,39750,33500,17804,52833,50500,37750,0.166,0.215,0.308,3310,33250,44500,33250,2285,22450,12970,16545,11330,39275,24915
,3,,2011,3106,39250,32750,17524,51981,49500,36500,0.167,0.223,0.32,3445,32750,43750,32500,2365,23390,13460,17160,11700,40655,25745
,3,,2012,3453,39250,32500,17357,51515,49250,35750,0.163,0.227,0.326,3585,33000,43500,32250,2440,24505,14000,17925,12115,42545,27230
,3,,2013,3824,39000,32250,17308,51074,49000,35250,0.157,0.227,0.329,3735,32750,43500,31750,2535,25745,14655,18775,12640,44755,28855
,3,,2014,4242,39000,32500,17646,51348,47250,34500,0.161,0.237,0.335,3890,33750,44250,31500,2630,27215,15450,19835,13320,47145,30475
,4,,1999,2023,42750,37500,23181,53128,57000,45750,0.093,0.129,0.195,3190,31500,39750,33500,2515,14570,9050,11655,7980,25520,14970
,4,,2000,2126,44000,38500,23965,54769,59250,47750,0.09,0.123,0.185,3225,33500,42750,36250,2525,15890,10060,12580,8855,27325,16225
,4,,2001,2221,45750,40000,24746,56991,60000,49000,0.094,0.117,0.177,3385,36000,46000,39000,2625,17405,11130,13625,9810,29585,17435
,4,,2002,2325,44250,39500,23917,56357,59000,48500,0.1,0.125,0.187,3410,35750,45250,38500,2635,18475,11740,14295,10340,31075,18380
,4,,2003,2458,44250,39250,23526,56573,58750,48250,0.105,0.131,0.195,3385,36250,46000,39000,2570,19415,12240,14815,10735,32335,19175
,4,,2004,2615,44250,39000,23351,56798,59250,48000,0.105,0.131,0.197,3360,36250,46250,39250,2520,20215,12815,15200,11205,33180,19775
,4,,2005,2812,44000,38750,23185,56405,59250,47750,0.101,0.131,0.198,3360,36500,46250,39750,2490,21095,13480,15595,11735,33845,20540
,4,,2006,3027,45250,39500,23705,57562,60500,48500,0.099,0.131,0.197,3425,37000,47500,40500,2525,22100,14300,16125,12365,34520,21470
,4,,2007,3198,45750,40000,24096,58126,61250,49250,0.1,0.129,0.193,3500,37750,48250,40500,2575,22555,14650,16330,12550,34490,21760
,4,,2008,3403,47500,41750,25018,60450,62750,50750,0.104,0.128,0.188,3600,39000,50500,41750,2625,23565,15175,16870,12970,35740,22990
,4,,2009,3695,45750,40000,23034,59065,60500,48750,0.118,0.142,0.209,3685,37500,48750,39750,2650,24050,15270,16945,12950,36600,23685
,4,,2010,3991,45500,39500,22402,58862,60750,48250,0.121,0.142,0.212,3815,37250,48500,39500,2720,24925,15550,17310,13110,37935,24440
,4,,2011,4367,45000,38750,22073,58171,59750,46750,0.122,0.147,0.221,3965,36500,48000,38750,2815,25795,15885,17740,13275,39215,25080
,4,,2012,4807,45000,38250,21985,57981,59750,46250,0.119,0.15,0.225,4130,36500,48250,38500,2920,27000,16475,18375,13595,41270,26400
,4,,2013,5268,45000,38250,21765,57852,59750,45500,0.115,0.151,0.228,4300,36750,48250,37750,3035,28320,17195,19155,14065,43360,27635
,4,,2014,5774,45250,38250,21854,58004,58000,44000,0.12,0.162,0.238,4460,37750,49000,36750,3140,29800,18010,20100,14695,45730,29165
,5,,1999,1948,56500,45500,28817,67014,73250,55500,0.082,0.099,0.143,3970,34500,47000,40250,3090,17965,11115,11925,8795,30320,19465
,5,,2000,2020,58500,46750,29941,69172,76750,58000,0.079,0.093,0.134,4030,36500,51500,44000,3050,19545,12350,12810,9720,32555,20890
,5,,2001,2084,59750,48250,30875,71646,75750,59250,0.084,0.09,0.131,4190,41000,55500,47250,3085,21300,13470,13745,10670,35455,22540
,5,,2002,2174,56500,47000,29071,68826,73000,57750,0.089,0.099,0.144,4215,39250,53750,45750,3035,22635,14135,14325,11225,37555,23580
,5,,2003,2285,55750,46500,28497,68418,72000,57000,0.093,0.104,0.15,4175,39750,54250,46500,2960,23775,14680,14805,11725,39190,24475
,5,,2004,2418,55750,46500,28574,68536,72250,56750,0.091,0.104,0.15,4145,40250,55000,47500,2895,24775,15225,15125,12130,40265,25530
,5,,2005,2600,55250,46000,28021,68152,72500,56250,0.089,0.106,0.153,4140,40250,55000,48250,2835,25930,16020,15485,12640,41680,27005
,5,,2006,2786,57000,47000,28617,69903,74250,57500,0.088,0.104,0.15,4200,41500,57250,50250,2850,27020,16660,15880,13150,42270,28355
,5,,2007,2905,58250,48250,29597,71331,76750,59500,0.089,0.1,0.143,4265,42750,59250,50750,2885,27240,16685,15890,13145,41840,28215
,5,,2008,3057,61000,50250,31162,74643,79250,62000,0.092,0.099,0.141,4365,43500,62250,53000,2920,28210,17055,16200,13330,42950,29140
,5,,2009,3284,58750,49000,28996,72919,76500,59750,0.105,0.111,0.158,4470,42000,60250,50250,2930,28640,16940,16080,13115,43795,29670
,5,,2010,3513,58500,48000,28007,72757,76750,59000,0.107,0.11,0.16,4630,41000,60000,50000,2965,29490,16970,16160,13030,45560,30325
,5,,2011,3777,58750,47500,28078,72763,77000,58250,0.107,0.113,0.163,4835,41250,60500,50000,3050,30430,17145,16345,12920,47225,30855
,5,,2012,4067,59250,47500,27941,73013,77750,58500,0.105,0.113,0.163,5050,41500,61000,50000,3160,31685,17685,16745,12945,49425,31495
,5,,2013,4353,59250,47500,27862,73083,77750,58000,0.104,0.116,0.166,5270,42000,61250,48750,3280,33075,18320,17250,13090,51910,32505
,5,,2014,4653,59500,47750,28018,73483,75000,56000,0.111,0.131,0.181,5470,43250,62000,47750,3390,34540,19015,17865,13420,54755,33450
,6,,1999,803,75250,56750,38567,88037,98000,75000,0.084,0.086,0.113,6505,43250,61500,55750,4925,29105,18005,10265,6635,28790,17705
,6,,2000,826,78000,58250,39742,91065,103500,80500,0.082,0.081,0.105,6510,50500,68000,60250,4970,31375,19440,11050,7135,31025,19210
,6,,2001,834,80000,60250,41289,94465,103500,82000,0.083,0.078,0.101,6850,61500,73750,63750,5120,34305,21170,12035,7475,33935,20890
,6,,2002,852,77750,60500,41003,93565,101250,81500,0.092,0.084,0.109,6865,56500,72750,64000,5080,35965,22020,12585,7505,35595,21690
,6,,2003,879,77500,60250,40498,93919,101500,81750,0.097,0.088,0.113,6740,55250,73750,64750,4960,37395,22935,12630,7555,37020,22550
,6,,2004,914,77500,60250,40037,92993,102500,82250,0.096,0.088,0.114,6595,53250,74500,66500,4825,38570,23895,12795,7590,38170,23420
