fy,full_sample,sel_index,typen,new_borrowers,new_undergrad_bor,new_grad_bor,new_parplus_bor,tot_vol,undergrad_loans,grad_loans,parplus_loans,mn_tot_vol,md_tot_vol,mn_undergrad_l,md_undergrad_l,mn_grad_loan,md_grad_loan,mn_parplus_loan,md_parplus_loan,mn_duration_borrowing,md_duration_borrowing,cpi_adj,age,mn_fam_inc,dependent,female,first_gen,median_hh_inc,pct_black,poverty_rate,unemp_rate,md_fam_inc,md_ind_fam_inc,md_dep_fam_inc,md_und_fam_inc,md_grad_fam_inc,md_par_fam_inc
1970,1,,,203,190,13,0,242,222,21,0,1195,890,1170,890,1445,1335,,,5.27,1,0.209694,,,,,,,,,,,,,,,
1971,1,,,148,137,11,0,195,179,17,0,1320,1245,1300,1115,1460,1335,,,5.37,1,0.217343,,,,,,,,,,,,,,,
1972,1,,,139,128,11,0,196,179,17,0,1410,1335,1395,1335,1490,1335,,,5.65,1,0.224633,,,,,,,,,,,,,,,
1973,1,,,135,123,12,0,204,181,23,0,1510,1335,1470,1335,1775,1335,,,5.7,1,0.24199,,,,,,,,,,,,,,,
1974,1,,,141,128,13,0,236,207,29,0,1675,1335,1625,1335,1960,1735,,,6.02,1,0.269745,,,,,,,,,,,,,,,
1975,1,,,160,145,15,0,279,245,35,0,1745,1335,1690,1335,2010,1780,,,6.09,2,0.287627,,,,,,,,,,,,,,,
1976,1,,,188,167,21,0,331,282,49,0,1760,1335,1685,1335,2040,1780,,,6.01,2,0.302189,,,,,,,,,,,,,,,
1977,1,,,262,235,28,0,519,436,82,0,1980,1715,1860,1515,2580,2225,,,6.07,2,0.322139,,,,,,,,,,,,,,,
1978,1,,,351,310,40,0,737,600,137,0,2100,1780,1935,1780,2935,2225,,,5.92,2,0.346492,,,,,,,,,,,,,,,
1979,1,,,637,567,70,0,1452,1189,264,0,2280,2225,2095,2225,3275,2740,,,5.61,2,0.381639,,,,,,,,,,,,,,,
1980,1,,,1097,978,119,0,2553,2058,495,0,2330,2225,2105,2225,3520,3760,,,5.31,1,0.42186,,,,,,,,,,,,,,,
1981,1,,,1504,1334,162,8,3694,2968,702,24,2455,2225,2225,2225,3975,4450,2995,2640,5.12,1,0.452594,,,,,,,,,,,,,,,
1982,1,,,1094,982,96,16,2516,2072,401,42,2300,2225,2110,2225,3925,4450,2700,2640,5.17,1,0.474364,,,,,,,,,,,,,,,
1983,1,,,1229,1098,98,33,2832,2332,411,90,2305,2225,2125,2225,4010,4450,2690,2640,5.02,1,0.491878,,,,,,,,,,,,,,,
1984,1,,,1424,1280,103,42,3281,2730,442,108,2305,2225,2135,2225,4130,4450,2575,2640,4.86,1,0.509814,,,,,,,,,,,,,,,
1985,1,,,1607,1459,98,50,3712,3148,435,130,2310,2225,2160,2225,4255,4450,2585,2640,4.65,1,0.528431,,,,,,,,,,,,,,,
1986,1,,,1579,1446,82,50,3562,3077,359,126,2255,2225,2125,2225,4155,4450,2510,2640,4.42,0,0.536539,,,,,,,,,,,,,,,
1987,1,,,1603,1468,72,64,3952,3382,389,180,2465,2225,2305,2225,5170,4450,2805,2640,4.21,0,0.556903,,,,,,,,,,,,,,,
1988,1,,,1749,1564,79,108,4893,4087,477,329,2795,2335,2615,2335,5800,5845,3035,3520,4.03,0,0.580705,,,,,,,,,,,,,,,
1989,1,,,1735,1516,81,139,5112,4147,537,427,2945,2335,2735,2335,6350,6675,3060,3520,3.96,0,0.60299,,,,,,,,,,,,,,,
1990,1,,,1604,1368,85,153,4933,3813,637,483,3075,2625,2785,2625,7210,7500,3165,3520,4.1,1,0.631967,,,,,,,,,,,,,,,
1991,1,,,1604,1343,94,169,5140,3857,743,541,3205,2625,2870,2625,7525,7500,3210,3520,4.23,1,0.648323,,,,,,,,,,,,,,,
1992,1,,,1616,1330,100,188,5344,3909,820,615,3305,2625,2940,2625,7965,7500,3270,3520,4.29,2,0.665147,,,,,,,,,,,,,,,
1993,1,,,1645,1394,104,149,6181,4480,1055,645,3755,2625,3215,2625,9860,7500,4345,4000,4.4,2,0.679709,,,,,,,,,,,,,,,
1994,1,,,1778,1502,123,154,7923,5507,1506,911,4455,2625,3665,2625,11740,9265,5915,4245,4.44,2,0.694281,,,,,,,,,,,,,,,
1995,1,,,1694,1412,120,163,7904,5386,1507,1011,4665,3000,3815,2625,12060,10000,6190,5000,4.32,2,0.707602,,44920,0.57,0.58,0.4,57242.3,0.15,0.11,0.04,33875,15950,54825,35090,19965,39920
1996,1,,,1829,1533,119,178,8615,5917,1560,1137,4710,3000,3860,2625,12760,11595,6405,5000,4.36,2,0.724261,,47185,0.61,0.59,0.39,56557.3,0.14,0.11,0.04,35725,16340,55615,36790,24310,48545
1997,1,,,1821,1521,115,186,8841,6000,1573,1268,4855,3085,3945,2625,13245,11335,6825,5475,4.29,2,0.732323,,48290,0.62,0.59,0.38,57651,0.14,0.1,0.04,36620,17310,56105,37625,24260,47965
1998,1,,,1816,1519,107,191,8772,5951,1492,1330,4830,3000,3915,2625,13410,12055,6980,5600,4.21,3,0.738253,,50820,0.64,0.59,0.38,59235.3,0.13,0.1,0.04,38955,18575,57800,40170,25030,41425
1999,1,,,1795,1504,100,191,8669,5847,1449,1373,4830,2750,3890,2625,14025,13095,7180,5905,4.12,3,0.753413,21,53430,0.65,0.58,0.39,60687.8,0.12,0.09,0.04,40925,18795,59810,42490,23565,40040
2000,1,,,1831,1529,99,204,9201,6130,1532,1539,5025,3200,4010,2625,14920,14500,7540,6000,3.97,3,0.77168,21,55130,0.65,0.57,0.4,60595.7,0.12,0.09,0.04,42440,20105,60970,43675,27310,44025
2001,1,,,1891,1578,105,209,9742,6428,1624,1689,5150,3315,4075,2625,15040,14855,8100,6620,3.8,3,0.779909,21,56340,0.65,0.57,0.41,60324,0.12,0.09,0.04,42535,20215,61810,43815,27760,40105
2002,1,,,2074,1727,124,224,11173,7256,1977,1940,5390,3500,4200,2625,15570,15900,8675,7140,3.62,3,0.796383,21,56780,0.63,0.58,0.41,60638.8,0.12,0.09,0.04,42470,20815,61920,43545,31505,41825
2003,1,,,2281,1887,139,256,12904,8250,2306,2348,5660,3600,4375,3000,16125,17500,9165,7500,3.38,2,0.811654,21,54955,0.62,0.59,0.4,60379.1,0.12,0.09,0.04,39945,19895,59545,40830,29325,44110
2004,1,,,2464,2051,140,275,14340,9166,2379,2795,5820,3940,4470,3310,16510,18300,10175,8315,3.11,2,0.834702,21,54930,0.62,0.59,0.41,60424.1,0.12,0.09,0.04,39760,19775,59640,40500,30440,40510
2005,1,,,2497,2084,143,271,14770,9408,2462,2900,5915,3980,4515,3315,16810,18500,10700,8830,2.92,2,0.858669,21,55015,0.63,0.6,0.4,60303.3,0.13,0.09,0.04,39710,18850,59160,40580,29950,36280
2006,1,,,2469,2094,136,240,14689,9476,2592,2622,5950,3935,4525,3315,18555,18500,10940,9005,2.73,2,0.876992,21,55485,0.64,0.6,0.4,60374.9,0.13,0.09,0.04,39950,18380,59195,40635,32525,33990
2007,1,,,2463,2111,140,213,15691,10418,2920,2352,6370,4280,4935,3500,20340,18500,11050,9145,2.53,2,0.906824,21,55530,0.64,0.6,0.4,60442.6,0.13,0.09,0.04,39240,18275,58750,39850,32380,31260
2008,1,,,2627,2289,142,198,18998,13655,3066,2277,7230,5500,5965,5500,21180,19640,11520,9645,2.33,2,0.910217,21,55885,0.63,0.59,0.4,60551.7,0.13,0.09,0.04,38140,17385,58940,38585,32900,32325
2009,1,,,3214,2801,169,245,25977,19091,3962,2924,8085,5500,6815,5500,22910,20500,11930,9650,2,2,0.929017,21,55250,0.61,0.59,0.41,60478.5,0.13,0.09,0.04,35575,16360,58150,35890,32345,31075
2010,1,,,3304,2865,164,277,25967,19035,3814,3118,7860,5500,6645,5500,22705,20000,11265,8935,1.7,1,0.941916,22,51870,0.59,0.59,0.42,60273.1,0.13,0.09,0.04,32775,15245,54935,32960,30860,25150
2011,1,,,3272,2826,158,291,25810,18611,3730,3470,7890,5500,6585,5500,23110,20250,11910,9270,1.41,1,0.965479,21,51275,0.62,0.59,0.42,60514.3,0.13,0.09,0.04,32110,14125,52015,32295,31185,22625
2012,1,,,2900,2588,130,182,22632,17000,3283,2349,7805,5500,6570,5500,24725,20500,12890,10000,1.03,1,0.980216,21,51030,0.64,0.59,0.41,60454.4,0.13,0.09,0.04,32020,13085,51295,32060,32765,25175
2013,1,,,2659,2387,115,158,20715,15595,3027,2093,7790,5500,6535,5500,25750,20500,13255,10700,0.55,1,0.992323,21,52970,0.67,0.58,0.39,60749.3,0.13,0.09,0.04,33600,13190,51820,33680,33160,25080
2014,1,,,2552,2274,115,164,20506,15072,3165,2270,8035,5500,6630,5500,27000,20500,13800,11265,0,0,1,20,55495,0.69,0.58,0.37,61191.9,0.13,0.09,0.04,35380,13200,52980,35665,32520,21915
1970,,1,,11,10,0,0,12,11,1,0,1105,890,1085,890,1590,1335,,,3.63,0,0.209694,,,,,,,,,,,,,,,
1971,,1,,11,11,0,0,13,13,0,0,1200,1335,1200,1335,1045,1335,,,3.83,0,0.217343,,,,,,,,,,,,,,,
1972,,1,,13,12,0,0,16,16,0,0,1280,1335,1275,1335,1440,1335,,,4.07,0,0.224633,,,,,,,,,,,,,,,
1973,,1,,11,11,0,0,15,15,0,0,1305,1335,1305,1335,1280,1225,,,4.75,0,0.24199,,,,,,,,,,,,,,,
1974,,1,,14,14,0,0,20,19,1,0,1405,1335,1400,1335,1460,1055,,,4.86,0,0.269745,,,,,,,,,,,,,,,
1975,,1,,18,17,0,0,27,26,0,0,1525,1335,1520,1335,1720,1890,,,5.25,0,0.287627,,,,,,,,,,,,,,,
1976,,1,,22,21,0,0,32,32,1,0,1510,1335,1500,1335,1545,1690,,,4.86,0,0.302189,,,,,,,,,,,,,,,
1977,,1,,29,28,1,0,50,49,2,0,1735,1390,1710,1335,2560,2120,,,4.83,0,0.322139,,,,,,,,,,,,,,,
1978,,1,,43,42,1,0,78,75,3,0,1805,1780,1775,1780,2825,2225,,,5.02,0,0.346492,,,,,,,,,,,,,,,
1979,,1,,64,63,1,0,127,124,3,0,1990,2075,1970,2065,2110,1780,,,5.11,0,0.381639,,,,,,,,,,,,,,,
1980,,1,,113,111,2,0,229,222,7,0,2030,2225,2005,2225,2755,2225,,,4.74,0,0.42186,,,,,,,,,,,,,,,
1981,,1,,179,176,3,0,387,378,8,1,2165,2225,2150,2225,2400,2225,2740,2640,4.55,0,0.452594,,,,,,,,,,,,,,,
1982,,1,,220,216,3,1,470,460,7,3,2135,2225,2125,2225,2340,2225,2210,2505,4.44,0,0.474364,,,,,,,,,,,,,,,
1983,,1,,317,310,2,4,688,674,6,9,2175,2225,2170,2225,2215,2225,2235,2640,4.27,0,0.491878,,,,,,,,,,,,,,,
1984,,1,,402,391,2,9,888,861,6,21,2205,2225,2200,2225,2410,2225,2375,2640,4.25,0,0.509814,,,,,,,,,,,,,,,
1985,,1,,529,515,3,11,1172,1138,7,26,2215,2225,2210,2225,2245,2225,2380,2640,3.95,0,0.528431,,,,,,,,,,,,,,,
1986,,1,,632,613,3,16,1393,1347,8,38,2205,2225,2200,2225,2195,2225,2430,2640,3.59,0,0.536539,,,,,,,,,,,,,,,
1987,,1,,758,734,2,23,1886,1817,7,62,2490,2335,2475,2335,2615,2335,2745,2640,3.34,0,0.556903,,,,,,,,,,,,,,,
1988,,1,,855,817,2,37,2505,2394,8,103,2930,2335,2930,2335,2755,2335,2825,3170,3.14,0,0.580705,,,,,,,,,,,,,,,
1989,,1,,797,751,2,46,2490,2356,7,126,3120,2335,3135,2335,3240,2335,2775,3015,2.93,0,0.60299,,,,,,,,,,,,,,,
1990,,1,,621,576,2,45,1901,1764,7,129,3060,2625,3065,2625,3745,2625,2865,3225,3.12,0,0.631967,,,,,,,,,,,,,,,
1991,,1,,505,462,1,42,1579,1448,6,125,3130,2625,3135,2625,3000,2625,3005,3520,3.26,0,0.648323,,,,,,,,,,,,,,,
1992,,1,,425,383,1,41,1365,1233,4,127,3215,2625,3220,2625,4110,2915,3090,3520,3.32,0,0.665147,,,,,,,,,,,,,,,
1993,,1,,330,295,0,34,1133,993,2,138,3435,2625,3360,2625,3900,2625,4020,4000,3.42,0,0.679709,,,,,,,,,,,,,,,
1994,,1,,309,275,0,34,1215,1048,2,164,3930,2625,3815,2625,6170,4135,4825,4000,3.4,0,0.694281,,,,,,,,,,,,,,,
1995,,1,,288,254,0,34,1197,1031,2,164,4165,3315,4060,3300,7130,3950,4885,4000,3.34,0,0.707602,,28080,0.31,0.64,0.55,56863.6,0.16,0.11,0.04,19190,14700,36755,19170,5440,23990
1996,,1,,303,269,0,34,1290,1108,3,179,4255,3500,4125,3315,13075,7565,5200,4465,3.32,0,0.724261,,28980,0.34,0.64,0.55,57109.8,0.16,0.11,0.04,19270,14275,35065,19235,31030,32070
1997,,1,,305,270,0,35,1362,1168,3,191,4465,3865,4330,3585,7510,6150,5415,4500,3.24,1,0.732323,,30215,0.34,0.62,0.53,58399.2,0.15,0.11,0.04,20685,16055,35055,20600,29480,36510
1998,,1,,318,277,0,41,1444,1212,3,228,4540,3980,4370,3695,11170,6625,5635,4825,3.16,1,0.738253,,31190,0.37,0.61,0.53,57249.7,0.14,0.11,0.04,21765,16795,34790,21740,28700,32965
1999,,1,,337,291,0,46,1612,1323,1,289,4780,4250,4540,4055,4570,4245,6275,5380,2.95,1,0.753413,24,32355,0.36,0.59,0.54,57185.3,0.16,0.11,0.04,22440,17525,35475,22370,34050,31500
2000,,1,,359,309,0,50,1799,1459,3,338,5010,4415,4720,4250,7865,6625,6760,5810,2.83,1,0.77168,24,34710,0.38,0.57,0.55,58111.9,0.15,0.11,0.04,23485,18455,36905,23440,22195,31220
2001,,1,,395,341,0,54,2031,1631,2,399,5135,4425,4775,4415,7660,6075,7380,6235,2.61,1,0.779909,24,35675,0.4,0.55,0.56,57366.7,0.16,0.11,0.04,24470,18530,38600,24445,21040,29165
2002,,1,,441,385,0,56,2345,1890,3,452,5315,4625,4910,4415,7510,4415,8015,6800,2.57,1,0.796383,24,36865,0.4,0.59,0.56,57966.3,0.16,0.11,0.04,24660,18280,38850,24635,29075,30500
2003,,1,,503,441,0,62,2763,2238,2,523,5495,5000,5075,4625,6650,4400,8380,7000,2.33,1,0.811654,24,35135,0.39,0.61,0.57,57235,0.16,0.11,0.04,23755,17680,36255,23700,36100,29370
2004,,1,,589,519,0,71,3371,2693,5,673,5720,5280,5190,4960,13725,13735,9460,7895,2.13,1,0.834702,24,35350,0.39,0.63,0.55,57064,0.16,0.11,0.04,23760,18175,35655,23675,81370,32740
2005,,1,,613,545,0,68,3564,2877,7,681,5820,5535,5285,5250,11565,9250,9955,8195,2,1,0.858669,25,35065,0.4,0.64,0.54,56798.4,0.17,0.11,0.04,23315,17060,35745,23265,34005,27055
2006,,1,,621,560,0,61,3648,3008,6,634,5880,5875,5370,5470,10975,8415,10435,8655,1.83,1,0.876992,24,33530,0.4,0.65,0.54,56226.2,0.17,0.11,0.04,21990,16160,34165,21955,31790,26355
2007,,1,,654,598,0,56,3994,3406,3,585,6105,6175,5695,5915,8635,4000,10365,8525,1.69,1,0.906824,24,33120,0.4,0.64,0.55,56326.1,0.17,0.11,0.04,21845,16505,32985,21820,34830,23645
2008,,1,,740,690,0,50,5290,4776,4,509,7145,7400,6920,7290,8000,4485,10105,8200,1.55,1,0.910217,25,32065,0.38,0.65,0.55,55922.3,0.17,0.11,0.04,20645,15525,32025,20640,27360,25190
2009,,1,,967,906,0,62,7833,7187,5,642,8095,8425,7930,8445,10475,9750,10400,8055,1.31,1,0.929017,25,30095,0.36,0.64,0.57,55409.6,0.18,0.11,0.04,18685,13985,29620,18665,54070,25380
2010,,1,,993,920,0,75,7691,6988,7,696,7745,7700,7600,7800,17935,15705,9300,6965,1.05,1,0.941916,26,28785,0.36,0.63,0.58,55311.8,0.17,0.11,0.04,18130,13430,28365,18125,63005,20385
2011,,1,,841,764,0,78,6531,5793,5,732,7765,7215,7580,7285,12930,9500,9400,6800,0.84,0,0.965479,25,27440,0.39,0.64,0.57,55463.9,0.17,0.11,0.04,17210,12040,27495,17220,35760,16690
2012,,1,,697,655,0,42,5444,4983,2,459,7810,7595,7610,7570,10240,10000,10830,7850,0.65,0,0.980216,25,26425,0.41,0.65,0.56,55072.2,0.17,0.12,0.04,16320,10910,26910,16320,38685,18495
2013,,1,,603,573,0,31,4724,4408,5,311,7830,7820,7700,7770,20385,16810,10095,8050,0.42,0,0.992323,25,27415,0.43,0.64,0.55,55030.5,0.18,0.12,0.04,16905,11145,26845,16895,28600,20190
2014,,1,,555,526,0,30,4440,4115,4,321,8000,7925,7830,7915,17605,19750,10740,8015,0,0,1,24,27215,0.45,0.64,0.54,55061.2,0.18,0.12,0.04,16965,10625,26295,16955,27270,21345
1970,,2,,9,9,0,0,9,8,0,0,985,890,965,890,1530,1515,,,5.01,0,0.209694,,,,,,,,,,,,,,,
1971,,2,,10,10,0,0,11,10,0,0,1075,890,1060,890,1200,1335,,,4.34,0,0.217343,,,,,,,,,,,,,,,
1972,,2,,11,11,0,0,14,14,0,0,1255,1095,1245,1080,1470,1335,,,4.99,0,0.224633,,,,,,,,,,,,,,,
1973,,2,,11,11,0,0,14,13,1,0,1225,1030,1200,980,1860,1335,,,4.91,0,0.24199,,,,,,,,,,,,,,,
1974,,2,,11,11,1,0,16,14,1,0,1370,1335,1350,1335,1690,1780,,,4.72,0,0.269745,,,,,,,,,,,,,,,
1975,,2,,15,14,0,0,21,20,1,0,1400,1335,1385,1335,1610,1410,,,5.75,1,0.287627,,,,,,,,,,,,,,,
1976,,2,,17,16,1,0,23,22,1,0,1390,1335,1375,1335,1840,1560,,,5.78,0,0.302189,,,,,,,,,,,,,,,
1977,,2,,24,23,1,0,37,35,2,0,1560,1335,1530,1335,1945,1335,,,6.73,1,0.322139,,,,,,,,,,,,,,,
1978,,2,,33,32,1,0,52,50,2,0,1560,1335,1540,1335,1940,1780,,,5.88,1,0.346492,,,,,,,,,,,,,,,
1979,,2,,55,54,1,0,98,94,4,0,1775,1560,1735,1515,2275,1780,,,5.62,1,0.381639,,,,,,,,,,,,,,,
1980,,2,,109,106,2,0,199,193,7,0,1835,1780,1815,1780,2255,2225,,,5.37,1,0.42186,,,,,,,,,,,,,,,
1981,,2,,181,178,2,0,368,360,8,0,2035,2225,2020,2225,2490,2225,2135,2640,5.02,1,0.452594,,,,,,,,,,,,,,,
1982,,2,,160,157,2,1,326,320,5,1,2040,2225,2030,2225,2505,2225,1935,2200,4.84,1,0.474364,,,,,,,,,,,,,,,
1983,,2,,181,178,2,1,365,358,5,2,2020,2225,2010,2225,2460,2225,2365,2640,4.92,1,0.491878,,,,,,,,,,,,,,,
1984,,2,,193,189,2,2,389,381,4,4,2020,2225,2015,2225,2585,2225,2180,2290,4.72,1,0.509814,,,,,,,,,,,,,,,
1985,,2,,216,211,2,2,436,425,6,5,2015,2225,2010,2225,2305,2225,2080,2200,4.68,1,0.528431,,,,,,,,,,,,,,,
1986,,2,,199,196,1,2,399,392,3,5,2005,2225,2000,2225,2350,2145,2170,2240,4.82,0,0.536539,,,,,,,,,,,,,,,
1987,,2,,158,155,0,3,312,304,1,7,1975,2225,1965,2225,3155,2225,2270,2510,4.74,1,0.556903,,,,,,,,,,,,,,,
1988,,2,,160,155,0,5,349,333,2,14,2175,2225,2150,2225,4595,5475,2630,2620,4.61,1,0.580705,,,,,,,,,,,,,,,
1989,,2,,162,156,0,6,363,347,2,14,2245,2335,2230,2335,3280,2335,2585,2640,4.63,1,0.60299,,,,,,,,,,,,,,,
1990,,2,,152,145,0,7,356,336,2,18,2350,2500,2320,2500,3785,2625,2780,2815,4.45,1,0.631967,,,,,,,,,,,,,,,
1991,,2,,167,159,0,7,423,402,2,20,2540,2625,2525,2625,3770,2625,2680,2640,4.75,1,0.648323,,,,,,,,,,,,,,,
1992,,2,,179,171,0,8,447,423,2,22,2495,2625,2480,2620,4330,2625,2635,2640,4.68,1,0.665147,,,,,,,,,,,,,,,
1993,,2,,188,183,0,5,483,465,1,17,2565,2625,2545,2625,4245,2815,3090,3000,4.55,1,0.679709,,,,,,,,,,,,,,,
1994,,2,,206,202,0,4,583,566,3,14,2825,2625,2800,2625,8005,5005,3370,3125,4.81,2,0.694281,,,,,,,,,,,,,,,
1995,,2,,199,195,0,4,602,586,3,13,3025,2625,3005,2625,8565,2870,3600,3320,4.84,2,0.707602,,30670,0.39,0.61,0.53,56367.4,0.13,0.09,0.04,22500,13740,44940,22495,11430,20570
1996,,2,,209,205,0,4,635,615,2,17,3035,2625,3005,2625,9480,4625,4000,3640,4.73,2,0.724261,,31565,0.43,0.61,0.51,55422.8,0.13,0.1,0.04,22775,14240,43305,22765,23260,22505
1997,,2,,215,210,0,4,665,647,1,18,3100,2625,3075,2625,3585,2815,4260,3875,4.75,2,0.732323,,32960,0.45,0.61,0.49,56127.8,0.12,0.09,0.04,23560,14530,44685,23560,35575,14105
1998,,2,,211,207,0,4,651,633,1,18,3085,2625,3055,2625,8890,8125,4230,3915,4.56,2,0.738253,,35385,0.48,0.61,0.49,55004.7,0.11,0.09,0.04,26485,16490,47590,26480,0,43535
1999,,2,,192,188,0,5,593,572,1,20,3080,2625,3045,2625,8065,5500,4370,3850,4.53,2,0.753413,22,38030,0.5,0.6,0.49,54619.5,0.1,0.09,0.04,27560,16835,48440,27560,18995,57305
2000,,2,,197,193,0,5,623,602,1,20,3155,2625,3120,2625,9845,7540,4475,4000,4.38,2,0.77168,22,39730,0.52,0.59,0.51,54175.3,0.1,0.09,0.04,30325,18380,50020,30325,27215,42265
2001,,2,,202,197,0,5,644,620,1,23,3185,2625,3145,2625,2505,2625,4845,4000,4.26,3,0.779909,22,40215,0.51,0.59,0.52,54073.5,0.1,0.09,0.04,30175,18560,51120,30175,32005,32310
2002,,2,,247,242,0,4,824,796,1,27,3335,2625,3285,2625,3960,3655,6215,4500,3.98,2,0.796383,22,41750,0.5,0.59,0.51,54651.7,0.1,0.09,0.04,31790,19105,53945,31795,28100,35665
2003,,2,,289,283,0,6,1029,995,1,34,3555,2625,3520,2625,3240,2625,5300,4000,3.74,2,0.811654,23,40740,0.5,0.61,0.51,55034.8,0.1,0.09,0.04,30320,18590,51195,30260,27890,51580
2004,,2,,315,309,0,6,1133,1100,0,33,3595,2625,3560,2625,2625,2625,5255,4500,3.36,2,0.834702,23,40320,0.5,0.61,0.52,54695.4,0.11,0.09,0.04,30225,18430,50425,30220,0,48890
2005,,2,,331,323,0,7,1225,1182,1,42,3705,2625,3655,2625,4245,2625,5730,4500,3.15,2,0.858669,22,41415,0.53,0.6,0.51,54763.3,0.11,0.09,0.04,31240,17880,51200,31185,50495,41995
2006,,2,,328,320,0,8,1222,1173,1,49,3730,2625,3670,2625,3345,3000,6245,5000,2.86,2,0.876992,22,41635,0.55,0.61,0.49,55374.1,0.11,0.09,0.04,31330,17270,50150,31295,50320,31365
2007,,2,,333,327,0,6,1369,1334,0,36,4110,3500,4075,3500,1310,1310,5800,4315,2.62,2,0.906824,22,41800,0.55,0.6,0.49,55176.9,0.12,0.09,0.04,31415,17640,49880,31390,0,47790
2008,,2,,363,358,0,5,1721,1689,1,31,4735,3500,4710,3500,5685,2750,6280,5000,2.33,2,0.910217,22,41795,0.55,0.58,0.48,55470.5,0.12,0.09,0.04,30020,15875,49940,30020,30500,35980
2009,,2,,480,475,0,5,2603,2568,0,34,5425,4500,5410,4500,2875,2875,7010,5000,1.97,2,0.929017,22,42300,0.53,0.56,0.51,56068.5,0.12,0.09,0.04,29605,16010,51050,29605,51110,29690
2010,,2,,518,513,0,5,2886,2848,2,36,5565,4730,5550,4705,6495,7500,6780,5000,1.57,1,0.941916,24,38175,0.49,0.55,0.51,55481.1,0.13,0.1,0.04,25540,14315,47845,25560,3295,23740
2011,,2,,581,574,0,7,3261,3212,3,46,5615,4750,5595,4750,6325,4875,6520,5000,1.23,1,0.965479,23,36660,0.5,0.56,0.51,55664.9,0.13,0.1,0.04,23805,13105,43605,23810,19020,28915
2012,,2,,561,558,0,3,3065,3040,1,24,5465,4540,5450,4525,7275,4000,7350,5500,0.82,1,0.980216,23,35600,0.51,0.56,0.49,55684.9,0.14,0.1,0.04,23465,11615,43025,23470,21505,8655
2013,,2,,499,496,0,3,2686,2659,1,26,5380,4600,5365,4575,7935,4285,8055,6000,0.41,0,0.992323,22,36785,0.54,0.54,0.47,55866.9,0.14,0.1,0.04,24030,11285,42625,24035,53115,8200
2014,,2,,420,417,0,3,2306,2279,0,27,5485,4750,5465,4750,3250,2000,8015,6000,0,0,1,22,38900,0.57,0.54,0.46,56134.1,0.14,0.1,0.04,25635,12100,44560,25660,9110,24105
1970,,3,,51,51,0,0,63,62,0,0,1240,890,1235,890,1335,1335,,,6.1,1,0.209694,,,,,,,,,,,,,,,
1971,,3,,33,33,0,0,46,46,0,0,1400,1200,1395,1195,1355,1335,,,6.07,1,0.217343,,,,,,,,,,,,,,,
1972,,3,,27,27,0,0,41,41,1,0,1525,1335,1510,1335,1470,1335,,,6.2,1,0.224633,,,,,,,,,,,,,,,
1973,,3,,28,28,0,0,48,47,0,0,1670,1335,1655,1335,1630,1335,,,6.24,1,0.24199,,,,,,,,,,,,,,,
1974,,3,,28,28,0,0,51,51,1,0,1835,1335,1805,1335,1750,1560,,,6.61,2,0.269745,,,,,,,,,,,,,,,
1975,,3,,31,31,0,0,63,61,2,0,2020,1335,1970,1335,2090,1780,,,6.65,2,0.287627,,,,,,,,,,,,,,,
1976,,3,,35,35,0,0,73,70,3,0,2090,1690,2010,1600,2655,1780,,,6.2,2,0.302189,,,,,,,,,,,,,,,
